laura	VER:simp	laurer
caron	NOM	caron
a	VER:pres	avoir
ouvert	VER:pper	ouvrir
les	DET:ART	le
yeux	NOM	œil
,	PUN	,
le	DET:ART	le
mardi	NOM	mardi
7	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
régionale	ADJ	régional
de	PRP	de
nancy	NOM	nancy
.	SENT	.
d'	PRP	de
une	DET:ART	un
taille	NOM	taille
et	KON	et
d'	PRP	de
un	DET:ART	un
poids	NOM	poids
respectables	ADJ	respectable
de	PRP	de
49	NUM	@card@
cm	NOM	cm
et	KON	et
de	PRP	de
3	NUM	@card@
kg	ABR	kg
180	NUM	@card@
à	PRP	à
la	DET:ART	le
naissance	NOM	naissance
,	PUN	,
le	DET:ART	le
petit	ADJ	petit
bout	NOM	bout
de	PRP	de
chou	NOM	chou
fait	VER:pres	faire
le	DET:ART	le
bonheur	NOM	bonheur
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
,	PUN	,
audrey	NOM	audrey
bertin	NOM	bertin
et	KON	et
damien	NOM	damien
caron	ADJ	caron
.	SENT	.
la	DET:ART	le
famille	NOM	famille
réside	VER:pres	résider
au	PRP:det	au
bâtiment	NOM	bâtiment
grenat	NOM	grenat
à	PRP	à
mouzimpré	NOM	mouzimpré
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
