aujourd'hui	ADV	aujourd'hui
,	PUN	,
salle	NOM	salle
du	PRP:det	du
marlat	NOM	marlat
,	PUN	,
les	DET:ART	le
footballeurs	NOM	footballeur
du	PRP:det	du
sporting-club	NOM	sporting-club
organisent	VER:pres	organiser
le	DET:ART	le
challenge	NOM	challenge
varin	ADJ	varin
destiné	VER:pper	destiner
à	PRP	à
la	DET:ART	le
catégorie	NOM	catégorie
poussins	NOM	poussin
.	SENT	.
a	VER:pres	avoir
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
et	KON	et
jusqu'à	NOM	jusqu'à
l'	DET:ART	le
heure	NOM	heure
des	PRP:det	du
récompense	NOM	récompense
,	PUN	,
fixée	VER:pper	fixer
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
clubs	NOM	club
de	PRP	de
fc	NOM	fc
metz	NAM	Metz
,	PUN	,
vaucouleurs	NOM	vaucouleurs
,	PUN	,
epinal	NOM	epinal
,	PUN	,
pagny-sur-meuse	ADJ	pagny-sur-meuse
,	PUN	,
as	VER:pres	avoir
nancy	NOM	nancy
lorraine	ADJ	lorrain
,	PUN	,
sorcy-void	NOM	sorcy-void
,	PUN	,
maizey-lacroix	NOM	maizey-lacroix
,	PUN	,
thierville	NOM	thierville
et	KON	et
commercy	NOM	commercy
(	PUN	(
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
)	PUN	)
en	PRO:PER	en
découdront	VER:futu	découdre
pour	PRP	pour
s'	PRO:PER	se
emparer	VER:infi	emparer
du	PRP:det	du
précieux	ADJ	précieux
trophée	NOM	trophée
.	SENT	.
