répondant	VER:ppre	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
,	PUN	,
samedi	NOM	samedi
les	DET:ART	le
anciens	NOM	ancien
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
pour	PRP	pour
un	DET:ART	un
après-midi	NOM	après-midi
de	PRP	de
distractions	NOM	distraction
variées	ADJ	varié
.	SENT	.
tout	PRO:IND	tout
a	VER:pres	avoir
débuté	VER:pper	débuter
par	PRP	par
une	DET:ART	un
projection	NOM	projection
sur	PRP	sur
la	DET:ART	le
nature	NOM	nature
présentée	VER:pper	présenter
par	PRP	par
jean-louis	NOM	jean-louis
dubois	NOM	dubois
.	SENT	.
traditionnel	ADJ	traditionnel
loto	NOM	loto
ensuite	ADV	ensuite
,	PUN	,
doté	VER:pper	doter
de	PRP	de
nombreux	ADJ	nombreux
et	KON	et
jolis	ADJ	joli
lots	NOM	lot
,	PUN	,
où	PRO:REL	où
on	PRO:PER	on
a	VER:pres	avoir
vu	VER:pper	voir
plusieurs	PRO:IND	plusieurs
fois	NOM	foi|fois
des	PRP:det	du
doublés	NOM	doublé
de	PRP	de
gagnants	NOM	gagnant
et	KON	et
en	PRP	en
couple	NOM	couple
,	PUN	,
en	PRP	en
quelque	PRO:IND	quelque
sorte	NOM	sorte
des	PRP:det	du
rois	NOM	roi
du	PRP:det	du
loto	NOM	loto
.	SENT	.
cette	PRO:DEM	ce
belle	ADJ	beau
réunion	NOM	réunion
s'	PRO:PER	se
est	VER:pres	être
achevée	VER:pper	achever
par	PRP	par
la	DET:ART	le
dégustation	NOM	dégustation
de	PRP	de
galettes	NOM	galette
qui	PRO:REL	qui
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
couronnement	NOM	couronnement
de	PRP	de
trois	NUM	trois
reines	NOM	reine
:	PUN	:
l'	DET:ART	le
épouse	NOM	épouse
du	PRP:det	du
maire	NOM	maire
,	PUN	,
denise	NOM	denise
grange	NOM	grange
et	KON	et
claire	ADJ	clair
poinçot	NOM	poinçot
,	PUN	,
ainsi	KON	ainsi
que	KON	que
quatre	NUM	quatre
rois	NOM	roi
,	PUN	,
michel	NOM	michel
vincent	NAM	Vincent
,	PUN	,
le	DET:ART	le
maire	NOM	maire
patrick	NOM	patrick
meutelet	ADJ	meutelet
,	PUN	,
jean-paul	NOM	jean-paul
bally	NOM	bally
et	KON	et
bernard	NOM	bernard
malcuit	ADJ	malcuit
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
même	ADV	même
offert	VER:pper	offrir
la	DET:ART	le
double	ADJ	double
couronne	NOM	couronne
de	PRP	de
roi	NOM	roi
et	KON	et
reine	NOM	reine
.	SENT	.
ces	PRO:DEM	ce
altesses	NOM	altesse
et	KON	et
leurs	DET:POS	leur
suites	NOM	suite|suites
se	PRO:PER	se
sont	VER:pres	être
donné	VER:pper	donner
rendez-vous	NOM	rendez-vous
pour	PRP	pour
2004	NUM	@card@
