chapelle-des-bois	NOM	chapelle-des-bois
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.30	NUM	@card@
.	SENT	.
72	NUM	@card@
_	NOM	_
maison	NOM	maison
de	PRP	de
la	DET:ART	le
réserve	NOM	réserve
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.35	NUM	@card@
.	SENT	.
99	NUM	@card@
la	DET:ART	le
planée	ADJ	plané
:	PUN	:
randonnée	VER:pper	randonner
raquettes	NOM	raquette
(	PUN	(
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
après-midi	NOM	après-midi
)	PUN	)
«	PUN:cit	«
les	DET:ART	le
hauteurs	NOM	hauteur
de	PRP	de
la	DET:ART	le
planée	ADJ	plané
,	PUN	,
panorama	NOM	panorama
sur	PRP	sur
les	DET:ART	le
crêtes	NOM	crête
du	PRP:det	du
jura	VER:simp	jurer
»	PUN:cit	»
rv	NOM	rv
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
départ	NOM	départ
des	PRP:det	du
pistes	NOM	piste
de	PRP	de
ski	NOM	ski
,	PUN	,
col	NOM	col
de	PRP	de
la	DET:ART	le
république	NOM	république
(	PUN	(
haut	ADV	haut
du	PRP:det	du
village	NOM	village
),	ADJ	),
réservation	NOM	réservation
ot	ADJ	ot
,	PUN	,
03.81	NUM	@card@
.	SENT	.
69.31	NUM	@card@
.	SENT	.
21	NUM	@card@
_	NOM	_
«	PUN:cit	«
a	VER:pres	avoir
la	DET:ART	le
découverte	NOM	découverte
des	PRP:det	du
vins	NOM	vin
d'	PRP	de
arbois	NOM	arbois
»	PUN:cit	»
rv	NOM	rv
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
au	PRP:det	au
caveau	NOM	caveau
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.63	NUM	@card@
.	SENT	.
65	NUM	@card@
les	DET:ART	le
granges-saintes-marie	NOM	granges-saintes-marie
:	PUN	:
le	DET:ART	le
rucher	NOM	rucher
des	PRP:det	du
2	NUM	@card@
lacs	NOM	lac|lacs
,	PUN	,
visite	NOM	visite
de	PRP	de
la	DET:ART	le
miellerie	NOM	miellerie
,	PUN	,
animation	NOM	animation
fabrication	NOM	fabrication
de	PRP	de
bougies	NOM	bougie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.31	NUM	@card@
.	SENT	.
06	NUM	@card@
le	DET:ART	le
crouzet	NOM	crouzet
:	PUN	:
«	PUN:cit	«
soirée	NOM	soirée
contes	NOM	conte
et	KON	et
légendes	NOM	légende
avec	PRP	avec
bernard	NOM	bernard
»,	ADJ	»,
chalet	NOM	chalet
gillard	NOM	gillard
,	PUN	,
bar	NOM	bar
restaurant	NOM	restaurant
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
réservation	NOM	réservation
03.81	NUM	@card@
.	SENT	.
69.15	NUM	@card@
.	SENT	.
50	NUM	@card@
repas	NOM	repas
sur	PRP	sur
place	NOM	place
après	PRP	après
les	DET:ART	le
contes	NOM	conte
.	SENT	.
les	DET:ART	le
hôpitaux-neufs	NOM	hôpitaux-neufs
:	PUN	:
le	DET:ART	le
savoir-faire	NOM	savoir-faire
des	PRP:det	du
émaux	NOM	émail|émaux
,	PUN	,
rv	NOM	rv
à	PRP	à
17	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
emaillerie	NOM	emaillerie
du	PRP:det	du
mont-d'or	NOM	mont-d'or
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.20	NUM	@card@
.	SENT	.
15	NUM	@card@
les	DET:ART	le
longevilles	NOM	longevilles
mont-d'or	NOM	mont-d'or
:	PUN	:
initiation	NOM	initiation
skating	NOM	skating
(	PUN	(
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
matin	NOM	matin
)	PUN	)
;	PUN	;
biathlon	NOM	biathlon
avec	PRP	avec
sarbacane	NOM	sarbacane
(	PUN	(
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
après-midi	NOM	après-midi
),	ADJ	),
rv	NOM	rv
à	PRP	à
sports	NOM	sport
nature	NOM	nature
.	SENT	.
réservation	NOM	réservation
ot	NOM	ot
03.81	NUM	@card@
.	SENT	.
49.13	NUM	@card@
.	SENT	.
81	NUM	@card@
malbuisson	NOM	malbuisson
:	PUN	:
équitation	NOM	équitation
sur	PRP	sur
neige	NOM	neige
,	PUN	,
le	DET:ART	le
ranch	NOM	ranch
de	PRP	de
la	DET:ART	le
seignette	NOM	seignette
au	PRP:det	au
vezenay	NOM	vezenay
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.89	NUM	@card@
.	SENT	.
45.85	NUM	@card@
.	SENT	.
28	NUM	@card@
métabief	NOM	métabief
:	PUN	:
fromagerie	NOM	fromagerie
sancey-richard	NOM	sancey-richard
,	PUN	,
fabrication	NOM	fabrication
du	PRP:det	du
comté	NOM	comté
et	KON	et
du	PRP:det	du
mont	NOM	mont
d'	PRP	de
or	NOM	or
.	SENT	.
rv	NOM	rv
à	PRP	à
partir	VER:infi	partir
de	PRP	de
9	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.02	NUM	@card@
.	SENT	.
36	NUM	@card@
_	NOM	_
exposition	NOM	exposition
de	PRP	de
peinture	NOM	peinture
par	PRP	par
m.	ABR	m.
jacquemin	NOM	jacquemin
,	PUN	,
centre	NOM	centre
d'	PRP	de
accueil	NOM	accueil
.	SENT	.
_	NOM	_
randonnée	VER:pper	randonner
raquettes	NOM	raquette
(	PUN	(
1	NUM	@card@
/	PUN	/
2	NUM	@card@
journée	NOM	journée
après-midi	NOM	après-midi
)	PUN	)
«	PUN:cit	«
à	PRP	à
la	DET:ART	le
découverte	NOM	découverte
du	PRP:det	du
saut	NOM	saut
à	PRP	à
skis	NOM	ski
tremplin	NOM	tremplin
de	PRP	de
chaux-neuve	NOM	chaux-neuve
»	PUN:cit	»
rv	NOM	rv
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
centre	NOM	centre
d'	PRP	de
accueil	NOM	accueil
,	PUN	,
réservation	NOM	réservation
ot	NOM	ot
_	ADJ	_
randonnée	VER:pper	randonner
raquettes	NOM	raquette
(	PUN	(
soirée	NOM	soirée
)	PUN	)
«	PUN:cit	«
raquettes	NOM	raquette
en	PRP	en
nocturne	NOM	nocturne
sur	PRP	sur
le	DET:ART	le
mont	NOM	mont
d'	PRP	de
or	NOM	or
avec	PRP	avec
repas	NOM	repas
et	KON	et
animation	NOM	animation
en	PRP	en
restaurant	NOM	restaurant
d'	PRP	de
altitude	NOM	altitude
».	VER:subi	».
rv	NOM	rv
à	PRP	à
18	NUM	@card@
h	ABR	heure
au	PRP:det	au
centre	NOM	centre
d'	PRP	de
accueil	NOM	accueil
,	PUN	,
réservation	NOM	réservation
ot	ADJ	ot
_	ADJ	_
fête	NOM	fête
de	PRP	de
la	DET:ART	le
glisse	NOM	glisse
,	PUN	,
rv	NOM	rv
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
lieu	NOM	lieu
petite	ADJ	petit
berche	NOM	berche
,	PUN	,
piste	NOM	piste
des	PRP:det	du
canons	NOM	canon
à	PRP	à
neige	NOM	neige
,	PUN	,
démonstration	NOM	démonstration
spectacle	NOM	spectacle
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
glisses	NOM	glisse
enseignées	VER:pper	enseigner
,	PUN	,
renseignements	NOM	renseignement
03.81	NUM	@card@
.	SENT	.
49.04	NUM	@card@
.	SENT	.
21	NUM	@card@
_	NOM	_
descente	NOM	descente
aux	PRP:det	au
torches	NOM	torche
.	SENT	.
rv	NOM	rv
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
petite	ADJ	petit
berche	NOM	berche
,	PUN	,
piste	NOM	piste
des	PRP:det	du
canons	NOM	canon
à	PRP	à
neige	NOM	neige
,	PUN	,
rens	ADJ	rens
.	SENT	.
03.81	NUM	@card@
.	SENT	.
49.04	NUM	@card@
.	SENT	.
21	NUM	@card@
-	PUN	-
parcours	NOM	parcours
aventure	NOM	aventure
en	PRP	en
forêt	NOM	forêt
(	PUN	(
après-midi	NOM	après-midi
)	PUN	)
rv	NOM	rv
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
métabief	ADJ	métabief
aventures	NOM	aventure
,	PUN	,
renseignements	NOM	renseignement
03.81	NUM	@card@
.	SENT	.
49.20	NUM	@card@
.	SENT	.
14	NUM	@card@
montbenoît	NOM	montbenoît
:	PUN	:
visite	NOM	visite
guidée	VER:pper	guider
de	PRP	de
l'	DET:ART	le
abbaye	NOM	abbaye
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
