aujourd'hui	ADV	aujourd'hui
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
bibliothèque	NOM	bibliothèque
andré-theuriet	ADJ	andré-theuriet
,	PUN	,
prêt	ADJ	prêt
de	PRP	de
cd	NOM	cd
.	SENT	.
lundi	NOM	lundi
:	PUN	:
départ	NOM	départ
marche	NOM	marche
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
funny	NOM	funny
step	NOM	step
danse	VER:pres	danser
pour	PRP	pour
les	DET:ART	le
12	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
;	PUN	;
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
gym	NOM	gym
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
.	SENT	.
mardi	NOM	mardi
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
permanence	NOM	permanence
admr	ADJ	admr
local	ADJ	local
andré-theuriet	NOM	andré-theuriet
;	PUN	;
permanence	NOM	permanence
de	PRP	de
la	DET:ART	le
maison	NOM	maison
de	PRP	de
la	DET:ART	le
sécu	NOM	sécu
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
;	PUN	;
club	NOM	club
de	PRP	de
marche	NOM	marche
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
restos	NOM	resto
du	PRP:det	du
c	NOM	c
	ADJ	
ur	VER:simp	ur
salle	NOM	salle
a.	ABR	a.
-	PUN	-
paré	VER:pper	parer
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
;	PUN	;
gym-danse	NOM	gym-danse
pour	PRP	pour
les	DET:ART	le
6	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
judo	NOM	judo
pour	PRP	pour
les	DET:ART	le
5	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
;	PUN	;
19	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
judo	NOM	judo
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
;	PUN	;
volley	NOM	volley
à	PRP	à
partir	VER:infi	partir
de	PRP	de
15	NUM	@card@
ans	NOM	an
au	PRP:det	au
grand	ADJ	grand
gymnase	NOM	gymnase
à	PRP	à
20	NUM	@card@
h	ABR	heure
;	PUN	;
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
15	NUM	@card@
cours	NOM	cour|cours
de	PRP	de
taïso	NOM	taïso
,	PUN	,
salle	NOM	salle
de	PRP	de
fitness	NOM	fitness
à	PRP	à
disposition	NOM	disposition
;	PUN	;
ping-pong	NOM	ping-pong
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h.	ABR	h.
