c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
tristesse	NOM	tristesse
que	PRO:REL	que
nous	PRO:PER	nous
venons	VER:pres	venir
d'	PRP	de
apprendre	VER:infi	apprendre
le	DET:ART	le
décès	NOM	décès
d'	PRP	de
henriette	NOM	henriette
hugard	ADJ	hugard
,	PUN	,
survenu	VER:pper	survenir
jeudi	NOM	jeudi
au	PRP:det	au
centre	NOM	centre
de	PRP	de
soins	NOM	soin
de	PRP	de
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
bar-le-duc	NOM	bar-le-duc
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
92	NUM	@card@
ans	NOM	an
.	SENT	.
henriette	NOM	henriette
hugard	ADJ	hugard
était	VER:impf	être
née	VER:pper	naître
lavocat	NOM	lavocat
,	PUN	,
à	PRP	à
paris	NOM	pari
le	DET:ART	le
4	NUM	@card@
mars	NOM	mars
1911	NUM	@card@
quelques	PRO:IND	quelque
années	NOM	année
après	PRP	après
sa	DET:POS	son
naissance	NOM	naissance
,	PUN	,
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
père	NOM	père
est	VER:pres	être
militaire	ADJ	militaire
de	PRP	de
carrière	NOM	carrière
,	PUN	,
s'	PRO:PER	se
installe	VER:pres	installer
en	PRP	en
meuse	NOM	meuse
,	PUN	,
à	PRP	à
heudicourt	NOM	heudicourt
.	SENT	.
sa	DET:POS	son
scolarité	NOM	scolarité
terminée	VER:pper	terminer
,	PUN	,
elle	PRO:PER	elle
apprend	VER:pres	apprendre
à	PRP	à
13	NUM	@card@
ans	NOM	an
la	DET:ART	le
broderie	NOM	broderie
sur	PRP	sur
métier	NOM	métier
avant	PRP	avant
de	PRP	de
rejoindre	VER:infi	rejoindre
quatre	NUM	quatre
ans	NOM	an
plus	ADV	plus
tard	ADV	tard
l'	DET:ART	le
hôpital	NOM	hôpital
psychiatrique	ADJ	psychiatrique
de	PRP	de
fains-les-sources	NOM	fains-les-sources
.	SENT	.
elle	PRO:PER	elle
quitte	VER:pres	quitter
l'	DET:ART	le
établissement	NOM	établissement
,	PUN	,
en	PRP	en
1935	NUM	@card@
en	PRP	en
qualité	NOM	qualité
d'	PRP	de
infirmière	NOM	infirmier
pour	PRP	pour
se	PRO:PER	se
consacrer	VER:infi	consacrer
à	PRP	à
son	DET:POS	son
foyer	NOM	foyer
.	SENT	.
un	DET:ART	un
foyer	NOM	foyer
qu'	PRO:REL	que
elle	PRO:PER	elle
avait	VER:impf	avoir
fondé	VER:pper	fonder
le	DET:ART	le
8	NUM	@card@
février	NOM	février
1930	NUM	@card@
en	PRP	en
épousant	VER:ppre	épouser
un	DET:ART	un
verrier	NOM	verrier
,	PUN	,
léon	NOM	léon
hugard	ADJ	hugard
,	PUN	,
à	PRP	à
qui	PRO:REL	qui
elle	PRO:PER	elle
a	VER:pres	avoir
donné	VER:pper	donner
six	NUM	six
enfants	NOM	enfant
.	SENT	.
deux	NUM	deux
sont	VER:pres	être
décédés	VER:pper	décéder
dès	PRP	dès
leur	PRO:PER	lui
plus	ADV	plus
jeune	ADJ	jeune
âge	NOM	âge
et	KON	et
un	DET:ART	un
troisième	NUM	troisième
à	PRP	à
35	NUM	@card@
ans	NOM	an
.	SENT	.
le	DET:ART	le
cercle	NOM	cercle
familial	ADJ	familial
s'	PRO:PER	se
est	VER:pres	être
agrandi	VER:pper	agrandir
avec	PRP	avec
la	DET:ART	le
venue	NOM	venu|venue
de	PRP	de
14	NUM	@card@
petits-enfants	NOM	petits-enfants
,	PUN	,
28	NUM	@card@
arrière	ADJ	arrière
petits-enfants	NOM	petits-enfants
et	KON	et
12	NUM	@card@
arrière	ADV	arrière
arrière	ADJ	arrière
petits-enfants	NOM	petits-enfants
.	SENT	.
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
elle	PRO:PER	elle
avait	VER:impf	avoir
pris	VER:pper	prendre
un	DET:ART	un
grand	ADJ	grand
plaisir	NOM	plaisir
à	PRP	à
la	PRO:PER	la
réunir	VER:infi	réunir
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
des	PRP:det	du
noces	NOM	noce
de	PRP	de
platine	NOM	platine
(	PUN	(
70	NUM	@card@
ans	NOM	an
),	ADJ	),
célébrées	VER:pper	célébrer
en	PRP	en
1999	NUM	@card@
henriette	NOM	henriette
hugard	ADJ	hugard
partageait	VER:impf	partager
avec	PRP	avec
son	DET:POS	son
époux	NOM	époux
toutes	PRO:IND	tout
les	DET:ART	le
tâches	NOM	tâche
,	PUN	,
sans	PRP	sans
oublier	VER:infi	oublier
les	DET:ART	le
travaux	NOM	travail
de	PRP	de
jardinage	NOM	jardinage
et	KON	et
l'	DET:ART	le
entretien	NOM	entretien
d'	PRP	de
un	DET:ART	un
petit	ADJ	petit
élevage	NOM	élevage
.	SENT	.
elle	PRO:PER	elle
fut	VER:simp	être
très	ADV	très
affectée	VER:pper	affecter
par	PRP	par
la	DET:ART	le
disparition	NOM	disparition
deux	NUM	deux
ans	NOM	an
plus	ADV	plus
tard	ADV	tard
de	PRP	de
son	DET:POS	son
mari	NOM	mari
.	SENT	.
ayant	VER:ppre	avoir
perdu	VER:pper	perdre
une	DET:ART	un
grande	ADJ	grand
partie	NOM	partie
de	PRP	de
son	DET:POS	son
autonomie	NOM	autonomie
,	PUN	,
le	DET:ART	le
couple	NOM	couple
avait	VER:impf	avoir
dû	VER:pper	devoir
se	PRO:PER	se
résoudre	VER:infi	résoudre
en	PRP	en
1999	NUM	@card@
à	PRP	à
quitter	VER:infi	quitter
son	DET:POS	son
petit	ADJ	petit
appartement	NOM	appartement
de	PRP	de
l'	DET:ART	le
avenue	NOM	avenue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
à	PRP	à
fains	NOM	fains
pour	PRP	pour
rejoindre	VER:infi	rejoindre
le	DET:ART	le
centre	NOM	centre
de	PRP	de
soins	NOM	soin
de	PRP	de
bar-le-duc	NOM	bar-le-duc
,	PUN	,
entourée	VER:pper	entourer
jusqu'à	NOM	jusqu'à
ses	DET:POS	son
derniers	ADJ	dernier
jours	NOM	jour
par	PRP	par
toute	PRO:IND	tout
sa	DET:POS	son
famille	NOM	famille
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
religieuses	ADJ	religieux
se	PRO:PER	se
dérouleront	VER:futu	dérouler
mardi	NOM	mardi
4	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
en	PRP	en
l'	DET:ART	le
église	NOM	église
sainte-catherine	ADJ	sainte-catherine
de	PRP	de
fains	NOM	fains
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
