metz	ABR	metz
.	SENT	.
-	PUN	-
l'	DET:ART	le
une	NUM	un
des	PRP:det	du
trois	NUM	trois
opérations	NOM	opération
soutenues	VER:pper	soutenir
par	PRP	par
le	DET:ART	le
conseil	NOM	conseil
régional	ADJ	régional
est	VER:pres	être
l'	DET:ART	le
organisation	NOM	organisation
d'	PRP	de
un	DET:ART	un
concours	NOM	concours
d'	PRP	de
écriture	NOM	écriture
de	PRP	de
scénario	NOM	scénario
d'	PRP	de
une	DET:ART	un
bande-annonce	NOM	bande-annonce
pour	PRP	pour
le	DET:ART	le
festival	NOM	festival
.	SENT	.
contrainte	NOM	contrainte
imposée	ADJ	imposé
:	PUN	:
imaginer	VER:infi	imaginer
un	DET:ART	un
film	NOM	film
d'	PRP	de
une	DET:ART	un
durée	NOM	durée
d'	PRP	de
une	DET:ART	un
minute	NOM	minute
et	KON	et
23	NUM	@card@
secondes	NOM	second|seconde
,	PUN	,
composant	VER:ppre	composer
ainsi	ADV	ainsi
2003	NUM	@card@
images	NOM	image
.	SENT	.
66	NUM	@card@
projets	NOM	projet
ont	VER:pres	avoir
été	VER:pper	être
reçus	VER:pper	recevoir
et	KON	et
examinés	VER:pper	examiner
par	PRP	par
un	DET:ART	un
jury	NOM	jury
composé	VER:pper	composer
de	PRP	de
marc	NOM	marc
caro	NOM	caro
,	PUN	,
jean-pierre	NOM	jean-pierre
dionnet	NOM	dionnet
,	PUN	,
bernard	NOM	bernard
farcy	ADJ	farcy
,	PUN	,
le	DET:ART	le
producteur	ADJ	producteur
marc	NOM	marc
missionier	ADJ	missionier
,	PUN	,
l'	DET:ART	le
écrivain	NOM	écrivain
françois	ADJ	françois
rivière	NOM	rivière
,	PUN	,
lionel	NOM	lionel
chouchan	NOM	chouchan
et	KON	et
bruno	NOM	bruno
barde	NOM	barde
(	PUN	(
respectivement	ADV	respectivement
fondateur	NOM	fondateur
et	KON	et
directeur	NOM	directeur
du	PRP:det	du
festival	NOM	festival
).	VER:cond	).
xavier	NOM	xavier
his	VER:subi	his
et	KON	et
vincent	VER:subp	vincent
leone	NOM	leone
,	PUN	,
deux	NUM	deux
étudiants	NOM	étudiant
originaires	ADJ	originaire
de	PRP	de
bois-colombes	NOM	bois-colombes
(	PUN	(
hauts-de-seine	NOM	hauts-de-seine
),	ADJ	),
ont	VER:pres	avoir
remporté	VER:pper	remporter
ce	PRO:DEM	ce
concours	NOM	concours
;	PUN	;
ils	PRO:PER	il
ont	VER:pres	avoir
écrit	VER:pper	écrire
et	KON	et
dessiné	VER:pper	dessiner
un	DET:ART	un
projet	NOM	projet
«	PUN:cit	«
sans	PRP	sans
esbroufe	NOM	esbroufe
»	PUN:cit	»
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
tourné	VER:pper	tourner
par	PRP	par
un	DET:ART	un
réalisateur	NOM	réalisateur
professionnel	ADJ	professionnel
,	PUN	,
richard	NOM	richard
ugolini	NOM	ugolini
.	SENT	.
produit	VER:pper	produire
par	PRP	par
le	DET:ART	le
conseil	NOM	conseil
régional	ADJ	régional
,	PUN	,
leur	DET:POS	leur
film	NOM	film
a	VER:pres	avoir
été	VER:pper	être
présenté	VER:pper	présenter
hier	ADV	hier
et	KON	et
sera	VER:futu	être
bien	ADV	bien
sûr	ADJ	sûr
projeté	VER:pper	projeter
à	PRP	à
gérardmer	NOM	gérardmer
,	PUN	,
ainsi	KON	ainsi
que	KON	que
dans	PRP	dans
300	NUM	@card@
salles	NOM	salle
de	PRP	de
cinéma	NOM	cinéma
de	PRP	de
l'	DET:ART	le
est	NOM	est
de	PRP	de
la	DET:ART	le
france	NOM	france
.	SENT	.
