besançon	NOM	besançon
.	SENT	.
_	NOM	_
les	DET:ART	le
championnats	NOM	championnat
d'	PRP	de
académie	NOM	académie
se	PRO:PER	se
sont	VER:pres	être
disputés	VER:pper	disputer
hier	ADV	hier
aux	PRP:det	au
jouvencelles	NOM	jouvencelle
près	ADV	près
des	PRP:det	du
rousses	NOM	rousse
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
,	PUN	,
la	DET:ART	le
victoire	NOM	victoire
de	PRP	de
la	DET:ART	le
pontissalienne	ADJ	pontissalienne
anne-laure	NOM	anne-laure
sandonna	VER:simp	sandonna
,	PUN	,
alors	ADV	alors
que	KON	que
son	DET:POS	son
camarade	NOM	camarade
de	PRP	de
collège	NOM	collège
,	PUN	,
marc	NOM	marc
saillard	ADJ	saillard
,	PUN	,
s'	PRO:PER	se
impose	VER:pres	imposer
en	PRP	en
seniors	NOM	senior
masculins	ADJ	masculin
.	SENT	.
cependant	ADV	cependant
le	DET:ART	le
meilleur	ADJ	meilleur
chrono	NOM	chrono
de	PRP	de
la	DET:ART	le
journée	NOM	journée
est	VER:pres	être
à	PRP	à
mettre	VER:infi	mettre
au	PRP:det	au
crédit	NOM	crédit
du	PRP:det	du
cadet	ADJ	cadet
rousseland	NOM	rousseland
romain	ADJ	romain
grossiord	VER:pres	grossiord
,	PUN	,
lequel	PRO:REL	lequel
a	VER:pres	avoir
franchi	VER:pper	franchir
la	DET:ART	le
ligne	NOM	ligne
d'	PRP	de
arrivée	NOM	arrivé|arrivée
en	PRP	en
36	NUM	@card@
«	PUN:cit	«
68	NUM	@card@
contre	PRP	contre
37	NUM	@card@
»	PUN:cit	»
64	NUM	@card@
à	PRP	à
son	DET:POS	son
aîné	NOM	aîné
,	PUN	,
anne-laure	NOM	anne-laure
sandonna	NOM	sandonna
,	PUN	,
réalisant	VER:ppre	réaliser
elle	PRO:PER	elle
,	PUN	,
le	DET:ART	le
septième	ADJ	septième
temps	NOM	temps
au	PRP:det	au
scratch	NOM	scratch
masculins	ADJ	masculin
et	KON	et
féminines	ADJ	féminin
confondus	VER:pper	confondre
(	PUN	(
38	NUM	@card@
«	PUN:cit	«
33	NUM	@card@
).	ABR	).
féminines	ADJ	féminin
:	PUN	:
benjamines	NOM	benjamin
:	PUN	:
1	NUM	@card@
grenier-soliget	NOM	grenier-soliget
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
2	NUM	@card@
buffard	NOM	buffard
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
3	NUM	@card@
vandelle	NOM	vandelle
(	PUN	(
les	DET:ART	le
rousses	ADJ	roux
).	NOM	).
minimes	ADJ	minime
:	PUN	:
1	NUM	@card@
bussod	NOM	bussod
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
;	PUN	;
2	NUM	@card@
forestier	NOM	forestier
(	PUN	(
morez	ADJ	morez
)	PUN	)
;	PUN	;
3	NUM	@card@
benoit-guyod	NOM	benoit-guyod
(	PUN	(
les	DET:ART	le
rousses	ADJ	roux
).	NOM	).
cadettes	ADJ	cadet
:	PUN	:
1	NUM	@card@
robbe	NOM	robbe
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
;	PUN	;
2	NUM	@card@
sauge	NOM	sauge
(	PUN	(
morteau	NOM	morteau
)	PUN	)
;	PUN	;
3	NUM	@card@
vardanega	NOM	vardanega
(	PUN	(
morteau	NOM	morteau
).	VER:ppre	).
juniors/seniors	NOM	juniors/seniors
:	PUN	:
1	NUM	@card@
