c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
de	PRP	de
neurey-lès-la-demie	NOM	neurey-lès-la-demie
où	PRO:REL	où
elle	PRO:PER	elle
résidait	VER:impf	résider
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
que	KON	que
georgette	NOM	georgette
haas	NOM	haas
est	VER:pres	être
décédée	VER:pper	décéder
vendredi	NOM	vendredi
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
78	NUM	@card@
ans	NOM	an
.	SENT	.
elle	PRO:PER	elle
était	VER:impf	être
née	VER:pper	naître
le	DET:ART	le
28	NUM	@card@
février	NOM	février
1925	NUM	@card@
à	PRP	à
burn	NOM	burn
haupt-le-bas	ADJ	haupt-le-bas
(	PUN	(
bas-rhin	NOM	bas-rhin
)	PUN	)
dans	PRP	dans
une	DET:ART	un
famille	NOM	famille
de	PRP	de
dix	NUM	dix
enfants	NOM	enfant
.	SENT	.
arrivée	NOM	arrivé|arrivée
à	PRP	à
port-sur-saône	NOM	port-sur-saône
en	PRP	en
mai	NOM	mai
1925	NUM	@card@
elle	PRO:PER	elle
a	VER:pres	avoir
travaillé	VER:pper	travailler
pendant	PRP	pendant
treize	NUM	treize
ans	NOM	an
à	PRP	à
la	DET:ART	le
filature	NOM	filature
georges	ADJ	georges
,	PUN	,
puis	ADV	puis
comme	ADV	comme
hôtelière	ADJ	hôtelier
avec	PRP	avec
sa	DET:POS	son
s	NOM	s
	ADJ	
ur	VER:simp	ur
rose	ADJ	rose
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
la	DET:ART	le
paix	NOM	paix
,	PUN	,
rue	NOM	rue
jean-bogé	ADJ	jean-bogé
.	SENT	.
en	PRP	en
1978	NUM	@card@
elle	PRO:PER	elle
prit	VER:simp	prendre
une	DET:ART	un
retraite	NOM	retraite
bien	ADV	bien
méritée	VER:pper	mériter
.	SENT	.
elle	PRO:PER	elle
avait	VER:impf	avoir
comme	ADV	comme
passion	NOM	passion
le	DET:ART	le
tricot	NOM	tricot
et	KON	et
le	DET:ART	le
crochet	NOM	crochet
.	SENT	.
georgette	NOM	georgette
manquera	VER:futu	manquer
beaucoup	ADV	beaucoup
à	PRP	à
sa	DET:POS	son
famille	NOM	famille
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
mardi	NOM	mardi
11	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
port-sur-saône	NOM	port-sur-saône
.	SENT	.
nos	DET:POS	notre
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
