c'	PRO:DEM	ce
est	VER:pres	être
devant	PRP	devant
un	DET:ART	un
public	NOM	public
moins	ADV	moins
nombreux	ADJ	nombreux
qu'	KON	que
à	PRP	à
l'	DET:ART	le
habitude	NOM	habitude
que	PRO:REL	que
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
mardi	NOM	mardi
après-midi	NOM	après-midi
la	DET:ART	le
conférence	NOM	conférence
hebdomadaire	ADJ	hebdomadaire
de	PRP	de
l'	DET:ART	le
ucp	NOM	ucp
,	PUN	,
avec	PRP	avec
la	DET:ART	le
présence	NOM	présence
d'	PRP	de
un	DET:ART	un
jeune	ADJ	jeune
guide	NOM	guide
conférencier	NOM	conférencier
du	PRP:det	du
patrimoine	NOM	patrimoine
,	PUN	,
frédéric	ADJ	frédéric
maguin	NOM	maguin
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
parlé	VER:pper	parler
de	PRP	de
michel-ange	NOM	michel-ange
et	KON	et
de	PRP	de
la	DET:ART	le
voûte	NOM	voûte
de	PRP	de
la	DET:ART	le
chapelle	NOM	chapelle
sixtine	NOM	sixtine
,	PUN	,
lors	ADV	lors
d'	PRP	de
une	DET:ART	un
conférence	NOM	conférence
agrémentée	VER:pper	agrémenter
de	PRP	de
75	NUM	@card@
diapos	NOM	diapo
.	SENT	.
michel-ange	NOM	michel-ange
,	PUN	,
peintre	NOM	peintre
,	PUN	,
sculpteur	NOM	sculpteur
,	PUN	,
architecte	NOM	architecte
et	KON	et
poète	NOM	poète
italien	ADJ	italien
né	VER:pper	naître
en	PRP	en
toscane	ADJ	toscan
en	PRP	en
1475	NUM	@card@
est	VER:pres	être
mort	VER:pper	mourir
à	PRP	à
rome	NOM	rome
en	PRP	en
1564	NUM	@card@
on	PRO:PER	on
lui	PRO:PER	lui
doit	VER:pres	devoir
la	DET:ART	le
coupole	NOM	coupole
de	PRP	de
saint-pierre	NOM	saint-pierre
de	PRP	de
rome	NOM	rome
,	PUN	,
le	DET:ART	le
tombeau	NOM	tombeau
de	PRP	de
jules	NOM	jules
ii	NOM	ii
,	PUN	,
les	DET:ART	le
statues	NOM	statue
de	PRP	de
david	NOM	david
et	KON	et
de	PRP	de
moïse	NOM	moïse
et	KON	et
les	DET:ART	le
fresques	NOM	fresque
de	PRP	de
la	DET:ART	le
chapelle	NOM	chapelle
sixtine	NOM	sixtine
,	PUN	,
entre	PRP	entre
autres	ADJ	autre
.	SENT	.
l'	DET:ART	le
histoire	NOM	histoire
de	PRP	de
l'	DET:ART	le
art	NOM	art
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
du	PRP:det	du
monde	NOM	monde
est	VER:pres	être
au	PRP:det	au
centre	NOM	centre
des	PRP:det	du
conférences	NOM	conférence
données	VER:pper	donner
par	PRP	par
frédéric	ADJ	frédéric
maguin	NOM	maguin
,	PUN	,
qui	PRO:REL	qui
était	VER:impf	être
venu	VER:pper	venir
au	PRP:det	au
rio	NOM	rio
lors	ADV	lors
de	PRP	de
la	DET:ART	le
saison	NOM	saison
2001	NUM	@card@
-	PUN	-
2002	NUM	@card@
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
,	PUN	,
georges	VER:pres	georges
rocci	NOM	rocci
,	PUN	,
professeur	NOM	professeur
émérite	ADJ	émérite
de	PRP	de
l'	DET:ART	le
université	NOM	université
henri	ADJ	henri
poincaré	VER:pper	poincaré
de	PRP	de
nancy	NOM	nancy
parlera	VER:futu	parler
de	PRP	de
la	DET:ART	le
découverte	NOM	découverte
des	PRP:det	du
merveilles	NOM	merveille
géologiques	ADJ	géologique
du	PRP:det	du
continent	NOM	continent
africain	ADJ	africain
.	SENT	.
