qui	PRO	qui
est	VER:pres	être
vraiment	ADV	vraiment
cette	PRO:DEM	ce
jeune	ADJ	jeune
femme	NOM	femme
?	SENT	?
arrêtée	VER:pper	arrêter
au	PRP:det	au
cora	NOM	cora
d'	PRP	de
andelnans	NOM	andelnans
le	DET:ART	le
29	NUM	@card@
novembre	NOM	novembre
dernier	ADJ	dernier
alors	ADV	alors
qu'	KON	que
elle	PRO:PER	elle
venait	VER:impf	venir
de	PRP	de
dérober	VER:infi	dérober
85	NUM	@card@
articles	NOM	article
de	PRP	de
maquillage	NOM	maquillage
pour	PRP	pour
une	DET:ART	un
valeur	NOM	valeur
de	PRP	de
799,25	NUM	@card@
euros	NOM	euro
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
d'	PRP	de
abord	NOM	abord
pretexté	NOM	pretexté
être	VER:infi	être
mineure	ADJ	mineur
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
fallu	VER:pper	falloir
une	DET:ART	un
radiographie	NOM	radiographie
des	PRP:det	du
os	NOM	os
de	PRP	de
ses	DET:POS	son
poignets	NOM	poignet
pour	KON	pour
que	KON	que
la	DET:ART	le
justice	NOM	justice
soit	VER:subp	être
certaine	ADJ	certain
qu'	PRO:REL	que
elle	PRO:PER	elle
était	VER:impf	être
belle	ADJ	beau
et	KON	et
bien	ADV	bien
majeure	ADJ	majeur
.	SENT	.
une	DET:ART	un
recherche	NOM	recherche
de	PRP	de
son	DET:POS	son
identité	NOM	identité
à	PRP	à
partir	VER:infi	partir
de	PRP	de
ses	DET:POS	son
empreintes	NOM	empreinte
digitales	ADJ	digital
a	VER:pres	avoir
été	VER:pper	être
concluante	ADJ	concluant
:	PUN	:
pas	ADV	pas
moins	ADV	moins
de	PRP	de
quatre	NUM	quatre
identités	NOM	identité
sont	VER:pres	être
apparues	VER:pper	apparaître
.	SENT	.
liliana	NOM	liliana
,	PUN	,
née	VER:pper	naître
en	PRP	en
1985	NUM	@card@
est	VER:pres	être
également	ADV	également
connue	VER:pper	connaître
en	PRP	en
france	NOM	france
sous	PRP	sous
le	DET:ART	le
prénom	NOM	prénom
d'	PRP	de
irina	NOM	irina
,	PUN	,
née	VER:pper	naître
en	PRP	en
82	NUM	@card@
d'	PRP	de
ana-maria	NOM	ana-maria
,	PUN	,
née	VER:pper	naître
en	PRP	en
83	NUM	@card@
et	KON	et
d'	PRP	de
anita	NOM	anita
,	PUN	,
née	VER:pper	naître
en	PRP	en
1985	NUM	@card@
les	DET:ART	le
noms	NOM	nom
de	PRP	de
famille	NOM	famille
sont	VER:pres	être
tout	ADV	tout
aussi	ADV	aussi
changeants	ADJ	changeant
.	SENT	.
le	DET:ART	le
tribunal	NOM	tribunal
correctionnel	ADJ	correctionnel
a	VER:pres	avoir
prononcé	VER:pper	prononcer
une	DET:ART	un
peine	NOM	peine
pour	PRP	pour
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
;	PUN	;
liliana-irina-ana-maria-anita	NOM	liliana-irina-ana-maria-anita
écope	NOM	écope
de	PRP	de
cinq	NUM	cinq
mois	NOM	moi|mois
de	PRP	de
prison	NOM	prison
avec	PRP	avec
sursis	NOM	sursis
et	KON	et
l'	DET:ART	le
interdiction	NOM	interdiction
du	PRP:det	du
territoire	NOM	territoire
national	ADJ	national
.	SENT	.
