l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
alain	NOM	alain
geoffroy	NAM	Geoffroy
,	PUN	,
tél/rep/fax	NOM	tél/rep/fax
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.27	NUM	@card@
.	SENT	.
89	NUM	@card@
service	NOM	service
de	PRP	de
nuit	NOM	nuit
:	PUN	:
dr	ADJ	dr
rousseaux	NOM	rousseaux
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.44	NUM	@card@
.	SENT	.
39	NUM	@card@
;	PUN	;
pharmacie	NOM	pharmacie
de	PRP	de
permanence	NOM	permanence
:	PUN	:
malard	NOM	malard
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.40	NUM	@card@
.	SENT	.
53	NUM	@card@
ou	KON	ou
03.29	NUM	@card@
.	SENT	.
89.22	NUM	@card@
.	SENT	.
21	NUM	@card@
bibliothèque	NOM	bibliothèque
municipale	ADJ	municipal
exceptionnellement	ADV	exceptionnellement
fermée	VER:pper	fermer
:	PUN	:
dépôt	NOM	dépôt
des	PRP:det	du
livres	NOM	livre
en	PRP	en
mairie	NOM	mairie
.	SENT	.
scrabble	NOM	scrabble
:	PUN	:
adultes	ADJ	adulte
:	PUN	:
14	NUM	@card@
h	ABR	heure
;	PUN	;
enfants	NOM	enfant
:	PUN	:
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
multifonctions	NOM	multifonctions
.	SENT	.
peinture	NOM	peinture
:	PUN	:
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
école	NOM	école
de	PRP	de
tusey	NOM	tusey
.	SENT	.
