hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
une	DET:ART	un
soixantaine	NOM	soixantaine
de	PRP	de
personnes	NOM	personne
ont	VER:pres	avoir
répondu	VER:pper	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
de	PRP	de
claude	NOM	claude
bernussou	ADJ	bernussou
,	PUN	,
président	NOM	président
des	PRP:det	du
anciens	NOM	ancien
combattants	ADJ	combattant
,	PUN	,
prisonniers	NOM	prisonnier
de	PRP	de
guerre	NOM	guerre
et	KON	et
combattants	NOM	combattant
d'	PRP	de
algérie	NOM	algérie
,	PUN	,
tunisie	NOM	tunisie
et	KON	et
maroc	NOM	maroc
,	PUN	,
pour	PRP	pour
participer	VER:infi	participer
au	PRP:det	au
loto	NOM	loto
et	KON	et
déguster	VER:infi	déguster
la	DET:ART	le
traditionnelle	ADJ	traditionnel
brioche	NOM	brioche
.	SENT	.
des	PRP:det	du
parties	NOM	partie
acharnées	VER:pper	acharner
avec	PRP	avec
de	PRP	de
nombreux	ADJ	nombreux
lots	NOM	lot
intéressants	ADJ	intéressant
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
dans	PRP	dans
une	DET:ART	un
ambiance	NOM	ambiance
sympathique	ADJ	sympathique
que	PRO:REL	que
chacun	PRO:IND	chacun
s'	PRO:PER	se
est	VER:pres	être
quitté	VER:pper	quitter
en	PRP	en
se	PRO:PER	se
donnant	VER:ppre	donner
rendez-vous	NOM	rendez-vous
l'	DET:ART	le
an	NOM	an
prochain	ADJ	prochain
pour	PRP	pour
fêter	VER:infi	fêter
l'	DET:ART	le
an	NOM	an
2004	NUM	@card@
a	VER:pres	avoir
noter	VER:infi	noter
la	DET:ART	le
présence	NOM	présence
de	PRP	de
gilles	NOM	gille
gechter	VER:infi	gechter
,	PUN	,
conseiller	VER:infi	conseiller
délégué	VER:pper	déléguer
,	PUN	,
qui	PRO:REL	qui
représentait	VER:impf	représenter
la	DET:ART	le
municipalité	NOM	municipalité
.	SENT	.
