c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
prestation	NOM	prestation
originale	ADJ	original
que	PRO:REL	que
proposera	VER:futu	proposer
le	DET:ART	le
cim	NOM	cim
(	PUN	(
centre	NOM	centre
d'	PRP	de
initiation	NOM	initiation
musicale	ADJ	musical
)	PUN	)
de	PRP	de
bar-le-duc	NOM	bar-le-duc
le	DET:ART	le
week-end	NOM	week-end
prochain	ADJ	prochain
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
d'	PRP	de
un	DET:ART	un
concert	NOM	concert
autour	ADV	autour
d'	PRP	de
un	DET:ART	un
tableau	NOM	tableau
.	SENT	.
le	DET:ART	le
spectacle	NOM	spectacle
consistera	VER:futu	consister
à	PRP	à
lire	VER:infi	lire
musicalement	ADV	musicalement
un	DET:ART	un
ensemble	NOM	ensemble
de	PRP	de
tableaux	NOM	tableau
de	PRP	de
l'	DET:ART	le
école	NOM	école
flamande	ADJ	flamand
du	PRP:det	du
xvie	NOM	xvie
siècle	NOM	siècle
en	PRP	en
associant	VER:ppre	associer
les	DET:ART	le
classes	NOM	classe
de	PRP	de
piano	NOM	piano
et	KON	et
de	PRP	de
chant	NOM	chant
du	PRP:det	du
cim	NOM	cim
.	SENT	.
deux	NUM	deux
représentations	NOM	représentation
sont	VER:pres	être
prévues	VER:pper	prévoir
:	PUN	:
-	PUN	-
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
auditorium	NOM	auditorium
du	PRP:det	du
cim	NOM	cim
(	PUN	(
entrée	NOM	entrée
libre	ADJ	libre
)	PUN	)
;	PUN	;
-	PUN	-
et	KON	et
dimanche	NOM	dimanche
9	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
musée	NOM	musée
barrois	ADJ	barrois
,	PUN	,
sur	PRP	sur
réservation	NOM	réservation
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
79.01	NUM	@card@
.	SENT	.
31	NUM	@card@
).	ABR	).
