«	PUN:cit	«
nous	PRO:PER	nous
réalisons	VER:pres	réaliser
un	DET:ART	un
travail	NOM	travail
d'	PRP	de
équipe	NOM	équipe
.	SENT	.
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
tire	VER:pres	tirer
dans	PRP	dans
le	DET:ART	le
même	ADJ	même
sens	NOM	sen|sens
»,	ADJ	»,
insiste	VER:pres	insister
béatrice	ADJ	béatrice
bertrand	NOM	bertrand
.	SENT	.
la	DET:ART	le
responsable	ADJ	responsable
du	PRP:det	du
pôle	NOM	pôle
d'	PRP	de
intervention	NOM	intervention
sociale	ADJ	social
a	VER:pres	avoir
à	PRP	à
ses	DET:POS	son
côtés	NOM	côté
un	DET:ART	un
travailleur	NOM	travailleur
social	ADJ	social
,	PUN	,
d'	PRP	de
astreinte	NOM	astreinte
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
une	DET:ART	un
assistante	NOM	assistant
sociale	ADJ	social
chargée	VER:pper	charger
de	PRP	de
l'	DET:ART	le
accueil	NOM	accueil
,	PUN	,
deux	NUM	deux
éducatrices	NOM	éducateur
qui	PRO:REL	qui
s'	PRO:PER	se
occupent	VER:pres	occuper
de	PRP	de
hébergement	NOM	hébergement
de	PRP	de
longue	ADJ	longue
durée	NOM	durée
et	KON	et
une	DET:ART	un
secrétaire	NOM	secrétaire
.	SENT	.
longtemps	ADV	longtemps
installé	VER:pper	installer
rue	NOM	rue
saint-urbain	ADJ	saint-urbain
,	PUN	,
le	DET:ART	le
pis	NOM	pi|pis
a	VER:pres	avoir
emménagé	VER:pper	emménager
à	PRP	à
la	DET:ART	le
mi-décembre	NOM	mi-décembre
dans	PRP	dans
ses	DET:POS	son
nouveaux	ADJ	nouveau
locaux	NOM	local
,	PUN	,
au	PRP:det	au
49	NUM	@card@
rue	NOM	rue
oudinot	NOM	oudinot
.	SENT	.
un	DET:ART	un
gain	NOM	gain
de	PRP	de
place	NOM	place
apprécié	VER:pper	apprécier
.	SENT	.
outre	ADV	outre
des	PRP:det	du
bureaux	NOM	bureau
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
là	ADV	là
une	DET:ART	un
salle	NOM	salle
d'	PRP	de
accueil	NOM	accueil
de	PRP	de
jour	NOM	jour
,	PUN	,
une	DET:ART	un
salle	NOM	salle
de	PRP	de
bain	NOM	bain
,	PUN	,
une	DET:ART	un
pièce	NOM	pièce
avec	PRP	avec
les	DET:ART	le
deux	NUM	deux
machines	NOM	machine
à	PRP	à
laver	VER:infi	laver
le	DET:ART	le
linge	NOM	linge
,	PUN	,
ainsi	KON	ainsi
que	KON	que
deux	NUM	deux
f	NOM	f
2	NUM	@card@
au	PRP:det	au
-	PUN	-
dessus	ADV	dessus
.	SENT	.
l'	DET:ART	le
hébergement	NOM	hébergement
d'	PRP	de
urgence	NOM	urgence
se	PRO:PER	se
fait	VER:pres	faire
dans	PRP	dans
un	DET:ART	un
local	NOM	local
à	PRP	à
couchot	NOM	couchot
.	SENT	.
en	PRP	en
cas	NOM	cas
d'	PRP	de
arrivée	NOM	arrivé|arrivée
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
policiers	NOM	policier
qui	PRO:REL	qui
viennent	VER:pres	venir
l'	PRO:PER	la|le
ouvrir	VER:infi	ouvrir
,	PUN	,
le	DET:ART	le
travailleur	NOM	travailleur
social	ADJ	social
d'	PRP	de
astreinte	NOM	astreinte
ne	ADV	ne
pouvant	VER:ppre	pouvoir
quitter	VER:infi	quitter
son	DET:POS	son
poste	NOM	poste
.	SENT	.
possibilité	NOM	possibilité
d'	PRP	de
hébergement	NOM	hébergement
existe	VER:pres	exister
aussi	ADV	aussi
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
bertrand	NOM	bertrand
.	SENT	.
