répondant	VER:ppre	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
des	PRP:det	du
bibliothécaires	NOM	bibliothécaire
,	PUN	,
guy-louis	ADJ	guy-louis
anguenot	NOM	anguenot
a	VER:pres	avoir
animé	VER:pper	animer
,	PUN	,
samedi	NOM	samedi
après-midi	NOM	après-midi
,	PUN	,
une	DET:ART	un
rencontre	NOM	rencontre
avec	PRP	avec
ses	DET:POS	son
lecteurs	NOM	lecteur
.	SENT	.
de	PRP	de
tous	PRO:IND	tout
âges	NOM	âge
,	PUN	,
les	DET:ART	le
auditeurs	NOM	auditeur
ont	VER:pres	avoir
été	VER:pper	être
conquis	VER:pper	conquérir
par	PRP	par
les	DET:ART	le
talents	NOM	talent
de	PRP	de
conteur	NOM	conteur
et	KON	et
la	DET:ART	le
passion	NOM	passion
de	PRP	de
l'	DET:ART	le
écrivain	NOM	écrivain
.	SENT	.
après	PRP	après
lectures	NOM	lecture
,	PUN	,
échanges	NOM	échange
et	KON	et
dédicaces	NOM	dédicace
,	PUN	,
cet	PRO:DEM	ce
agréable	ADJ	agréable
moment	NOM	moment
a	VER:pres	avoir
pris	VER:pper	prendre
fin	ADJ	fin
autour	ADV	autour
d'	PRP	de
un	DET:ART	un
verre	NOM	verre
.	SENT	.
