vittel	NAM	Vittel
.	SENT	.
_	NOM	_
de	PRP	de
retour	NOM	retour
des	PRP:det	du
internationaux	ADJ	international
de	PRP	de
croatie	NOM	croatie
où	PRO:REL	où
elles	PRO:PER	elle
ont	VER:pres	avoir
démontré	VER:pper	démontrer
de	PRP	de
net	ADJ	net
progrès	NOM	progrès
,	PUN	,
les	DET:ART	le
filles	NOM	fille
de	PRP	de
rozenn	NOM	rozenn
yquel	ADJ	yquel
poursuivent	VER:pres	poursuivre
leur	DET:POS	leur
montée	NOM	montée
en	PRP	en
puissance	NOM	puissance
dans	PRP	dans
la	DET:ART	le
station	NOM	station
vittelloise	ADJ	vittelloise
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
d'	PRP	de
un	DET:ART	un
stage	NOM	stage
international	ADJ	international
avec	PRP	avec
la	DET:ART	le
participation	NOM	participation
de	PRP	de
quatre	NUM	quatre
suédoises	NOM	suédois
,	PUN	,
deux	NUM	deux
italiennes	NOM	italien
mais	KON	mais
d'	PRP	de
origine	NOM	origine
chinoise	ADJ	chinois
et	KON	et
deux	NUM	deux
luxembourgeoises	NOM	luxembourgeois
.	SENT	.
«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
ma	DET:POS	mon
demande	NOM	demande
,	PUN	,
que	KON	que
ce	PRO:DEM	ce
stage	NOM	stage
a	VER:pres	avoir
été	VER:pper	être
mis	VER:pper	mettre
sur	PRP	sur
pied	NOM	pied
avec	PRP	avec
des	PRP:det	du
joueuses	NOM	joueur
de	PRP	de
niveau	NOM	niveau
équivalent	ADJ	équivalent
,	PUN	,
voire	ADV	voire
même	ADV	même
supérieur	ADJ	supérieur
,	PUN	,
avec	PRP	avec
les	DET:ART	le
deux	NUM	deux
chinoises	NOM	chinois
d'	PRP	de
italie	NOM	italie
.	SENT	.
elles	PRO:PER	elle
sont	VER:pres	être
en	PRP	en
opposition	NOM	opposition
directe	ADJ	direct
ce	PRO:DEM	ce
qui	PRO:REL	qui
permet	VER:pres	permettre
de	PRP	de
bons	ADJ	bon
échanges	NOM	échange
à	PRP	à
l'	DET:ART	le
entraînement	NOM	entraînement
.	SENT	.
je	PRO:PER	je
suis	VER:pres	suivre|être
assez	ADV	assez
contente	ADJ	content
de	PRP	de
mon	DET:POS	mon
équipe	NOM	équipe
qui	PRO:REL	qui
montre	VER:pres	montrer
de	PRP	de
réelle	ADJ	réel
progrès	NOM	progrès
.	SENT	.
a	VER:pres	avoir
zagreb	NOM	zagreb
,	PUN	,
solène	NOM	solène
legay	NOM	legay
et	KON	et
aurélie	NOM	aurélie
tamborini	VER:pper	tamborini
ont	VER:pres	avoir
réalisé	VER:pper	réaliser
deux	NUM	deux
belles	ADJ	beau
performances	NOM	performance
en	PRP	en
accrochant	VER:ppre	accrocher
la	DET:ART	le
85	NUM	@card@
e	NOM	e
mondiale	ADJ	mondial
pour	PRP	pour
solène	NOM	solène
.	SENT	.
quant	PRP	quant
à	PRP	à
aurélie	NOM	aurélie
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
sorti	VER:pper	sortir
une	DET:ART	un
joueuse	NOM	joueur
classée	VER:pper	classer
cent	NUM	cent
cinquante	ADJ	cinquante
places	NOM	place
devant	ADV	devant
elle	PRO:PER	elle
».	VER:cond	».
un	DET:ART	un
signe	NOM	signe
encourageant	VER:ppre	encourager
pour	PRP	pour
rozenn	NOM	rozenn
yquel	ADJ	yquel
qui	PRO:REL	qui
peaufine	VER:pres	peaufiner
la	DET:ART	le
préparation	NOM	préparation
des	PRP:det	du
«	PUN:cit	«
bleues	ADJ	bleu
»	PUN:cit	»
pour	PRP	pour
les	DET:ART	le
championnats	NOM	championnat
d'	PRP	de
europe	NOM	europe
de	PRP	de
courmayeur	NOM	courmayeur
programmés	VER:pper	programmer
du	PRP:det	du
29	NUM	@card@
mars	NOM	mars
au	PRP:det	au
6	NUM	@card@
avril	NOM	avril
prochain	ADJ	prochain
.	SENT	.
