aujourd'hui	ADV	aujourd'hui
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
foyer	NOM	foyer
municipal	ADJ	municipal
des	PRP:det	du
aînés	NOM	aîné
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
parc	NOM	parc
des	PRP:det	du
expositions	NOM	exposition
d'	PRP	de
epinal	NOM	epinal
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
ordre	NOM	ordre
des	PRP:det	du
confréries	NOM	confrérie
de	PRP	de
lorraine-lotharingie	NOM	lorraine-lotharingie
;	PUN	;
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
cocher	NOM	cocher
,	PUN	,
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
leur	DET:POS	leur
vie	NOM	vie
».	VER:futu	».
samedi	NOM	samedi
:	PUN	:
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
françois-mitterrand	ADJ	françois-mitterrand
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
groupe	NOM	groupe
vocal	ADJ	vocal
la	DET:ART	le
marjolaine	NOM	marjolaine
.	SENT	.
dimanche	NOM	dimanche
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
de	PRP	de
varangéville	NOM	varangéville
,	PUN	,
tournoi	NOM	tournoi
de	PRP	de
foot	NOM	foot
des	PRP:det	du
15	NUM	@card@
ans	NOM	an
,	PUN	,
organisé	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
asvsn	NOM	asvsn
.	SENT	.
