faisant	VER:ppre	faire
une	DET:ART	un
incursion	NOM	incursion
au	PRP:det	au
calendrier	NOM	calendrier
,	PUN	,
le	DET:ART	le
père	NOM	père
noël	NOM	noël
,	PUN	,
aidé	VER:pper	aider
de	PRP	de
ses	DET:POS	son
deux	NUM	deux
apprentis	NOM	apprenti
et	KON	et
des	PRP:det	du
membres	NOM	membre
du	PRP:det	du
ccas	NOM	ccas
,	PUN	,
a	VER:pres	avoir
distribué	VER:pper	distribuer
les	DET:ART	le
traditionnels	ADJ	traditionnel
colis	NOM	colis
aux	PRP:det	au
anciens	NOM	ancien
.	SENT	.
ces	PRO:DEM	ce
derniers	NOM	dernier
leur	PRO:PER	lui
ont	VER:pres	avoir
réservé	VER:pper	réserver
un	DET:ART	un
accueil	NOM	accueil
chaleureux	ADJ	chaleureux
.	SENT	.
