lors	ADV	lors
de	PRP	de
sa	DET:POS	son
dernière	ADJ	dernier
réunion	NOM	réunion
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
a	VER:pres	avoir
désigné	VER:pper	désigner
ses	DET:POS	son
trois	NUM	trois
représentants	NOM	représentant
pour	PRP	pour
siéger	VER:infi	siéger
à	PRP	à
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
du	PRP:det	du
val	NOM	val
du	PRP:det	du
neuné	NOM	neuné
.	SENT	.
ont	VER:pres	avoir
été	VER:pper	être
élus	VER:pper	élire
:	PUN	:
henri	VER:pper	henri
nau	NOM	nau
,	PUN	,
thierry	NOM	thierry
grandjean	ADJ	grandjean
,	PUN	,
et	KON	et
françoise	ADJ	françoise
michel	NOM	michel
.	SENT	.
les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
accepté	VER:pper	accepter
l'	DET:ART	le
adhésion	NOM	adhésion
au	PRP:det	au
syndicat	NOM	syndicat
mixte	ADJ	mixte
pour	PRP	pour
l'	DET:ART	le
informatisation	NOM	informatisation
communale	ADJ	communal
de	PRP	de
16	NUM	@card@
nouvelles	ADJ	nouveau
collectivités	NOM	collectivité
et	KON	et
refusé	VER:pper	refuser
le	DET:ART	le
retrait	NOM	retrait
de	PRP	de
xonrupt-longemer	VER:infi	xonrupt-longemer
.	SENT	.
ils	PRO:PER	il
autorisent	VER:pres	autoriser
le	DET:ART	le
receveur	NOM	receveur
municipal	ADJ	municipal
à	PRP	à
régler	VER:infi	régler
une	DET:ART	un
facture	NOM	facture
concernant	VER:ppre	concerner
le	DET:ART	le
renforcement	NOM	renforcement
électrique	ADJ	électrique
opération	NOM	opération
«	PUN:cit	«
pré	NOM	pré
du	PRP:det	du
lait	NOM	lait
»	PUN:cit	»
pour	KON	pour
laquelle	PRO:REL	lequel
les	DET:ART	le
crédits	NOM	crédit
seront	VER:futu	être
votés	VER:pper	voter
au	PRP:det	au
budget	NOM	budget
principal	ADJ	principal
primitif	NOM	primitif
2003	NUM	@card@
le	DET:ART	le
maire	NOM	maire
pourra	VER:futu	pouvoir
signer	VER:infi	signer
une	DET:ART	un
convention	NOM	convention
entre	PRP	entre
le	DET:ART	le
département	NOM	département
des	PRP:det	du
vosges	ADJ	vosges
et	KON	et
la	DET:ART	le
commune	NOM	commune
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
engagent	VER:pres	engager
à	PRP	à
se	PRO:PER	se
concerter	VER:infi	concerter
en	PRP	en
vue	NOM	vue
d'	PRP	de
une	DET:ART	un
mise	NOM	mise
en	PRP	en
cohérence	NOM	cohérence
de	PRP	de
leurs	DET:POS	leur
actions	NOM	action
,	PUN	,
dans	PRP	dans
des	PRP:det	du
domaines	NOM	domaine
où	PRO:REL	où
leurs	DET:POS	leur
compétences	NOM	compétence
sont	VER:pres	être
complémentaires	ADJ	complémentaire
.	SENT	.
les	DET:ART	le
thèmes	NOM	thème
retenus	VER:pper	retenir
par	PRP	par
le	DET:ART	le
conseil	NOM	conseil
sont	VER:pres	être
:	PUN	:
aménagement	NOM	aménagement
des	PRP:det	du
bourgs	NOM	bourg
et	KON	et
infrastructures	NOM	infrastructure
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
suite	NOM	suite
de	PRP	de
cet	PRO:DEM	ce
accord	NOM	accord
,	PUN	,
une	DET:ART	un
bonification	NOM	bonification
de	PRP	de
taux	NOM	tau|taux
de	PRP	de
subvention	NOM	subvention
accordée	VER:pper	accorder
par	PRP	par
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
sera	VER:futu	être
accordée	VER:pper	accorder
.	SENT	.
les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
décidé	VER:pper	décider
la	DET:ART	le
mise	NOM	mise
à	PRP	à
l'	DET:ART	le
étude	NOM	étude
de	PRP	de
renforcement	NOM	renforcement
du	PRP:det	du
réseau	NOM	réseau
basse	ADJ	bas
tension	NOM	tension
issu	ADJ	issu
du	PRP:det	du
poste	NOM	poste
«	PUN:cit	«
colimont	NOM	colimont
»	PUN:cit	»
et	KON	et
création	NOM	création
du	PRP:det	du
poste	NOM	poste
«	PUN:cit	«
lannay	NOM	lannay
»	PUN:cit	»
en	PRP	en
vue	NOM	vue
de	PRP	de
l'	DET:ART	le
élargissement	NOM	élargissement
de	PRP	de
la	DET:ART	le
vc	NOM	vc
3	NUM	@card@
de	PRP	de
la	DET:ART	le
rosière	NOM	rosière
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
donné	VER:pper	donner
un	DET:ART	un
accord	NOM	accord
de	PRP	de
principe	NOM	principe
pour	PRP	pour
pratiquer	VER:infi	pratiquer
un	DET:ART	un
échange	NOM	échange
avec	PRP	avec
claude	NOM	claude
moulin	NOM	moulin
,	PUN	,
qui	PRO:REL	qui
céderait	VER:cond	céder
une	DET:ART	un
partie	NOM	partie
de	PRP	de
sa	DET:POS	son
propriété	NOM	propriété
contre	PRP	contre
la	DET:ART	le
construction	NOM	construction
d'	PRP	de
un	DET:ART	un
mur	NOM	mur
à	PRP	à
la	DET:ART	le
charge	NOM	charge
de	PRP	de
la	DET:ART	le
commune	NOM	commune
,	PUN	,
à	PRP	à
l'	DET:ART	le
endroit	NOM	endroit
du	PRP:det	du
petit	ADJ	petit
bâtiment	NOM	bâtiment
devant	PRP	devant
être	VER:infi	être
détruit	VER:pper	détruire
.	SENT	.
