aujourd'hui	ADV	aujourd'hui
:	PUN	:
salade	NOM	salade
frisée	ADJ	frisé
et	KON	et
tomates	NOM	tomate
,	PUN	,
sauté	VER:pper	sauter
de	PRP	de
porc	NOM	porc
marengo	NOM	marengo
ou	KON	ou
steak	NOM	steak
de	PRP	de
colin	NOM	colin
au	PRP:det	au
citron	NOM	citron
,	PUN	,
haricots	NOM	haricot
verts	ADJ	vert
,	PUN	,
pyrénées	ADJ	pyrénées
,	PUN	,
mousse	NOM	mousse
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
mardi	NOM	mardi
:	PUN	:
panaché	VER:pper	panacher
de	PRP	de
crudités	NOM	crudité
,	PUN	,
poulet	NOM	poulet
rôti	VER:pper	rôtir
au	PRP:det	au
jus	NOM	jus
,	PUN	,
petits	ADJ	petit
pois	NOM	pois
et	KON	et
carottes	NOM	carotte
,	PUN	,
fromage	NOM	fromage
blanc	ADJ	blanc
sucré	VER:pper	sucrer
,	PUN	,
madeleine	NOM	madeleine
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
concombres	NOM	concombre
en	PRP	en
vinaigrette	NOM	vinaigrette
,	PUN	,
poissonnette	NOM	poissonnette
panée	VER:pper	paner
au	PRP:det	au
citron	NOM	citron
,	PUN	,
courgettes	NOM	courgette
en	PRP	en
béchamel	NOM	béchamel
,	PUN	,
mimolette	NOM	mimolette
,	PUN	,
glace	NOM	glace
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
salade	NOM	salade
piémontaise	ADJ	piémontais
,	PUN	,
escalope	NOM	escalope
de	PRP	de
volaille	NOM	volaille
à	PRP	à
l'	DET:ART	le
estragon	NOM	estragon
ou	KON	ou
émincé	VER:pper	émincer
,	PUN	,
coquillettes	NOM	coquillettes
,	PUN	,
coq	NOM	coq
de	PRP	de
bruyère	NOM	bruyère
,	PUN	,
fruit	NOM	fruit
.	SENT	.
