tous	PRO:IND	tout
les	DET:ART	le
habitants	NOM	habitant
sont	VER:pres	être
invités	VER:pper	inviter
à	PRP	à
participer	VER:infi	participer
à	PRP	à
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
le	DET:ART	le
18	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
17	NUM	@card@
h.	ABR	h.
a	VER:pres	avoir
cette	PRO:DEM	ce
occasion	NOM	occasion
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
procédé	VER:pper	procéder
à	PRP	à
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
trophées	NOM	trophée
sportifs	ADJ	sportif
et	KON	et
l'	DET:ART	le
inauguration	NOM	inauguration
du	PRP:det	du
site	NOM	site
internet	ADJ	internet
de	PRP	de
la	DET:ART	le
commune	NOM	commune
,	PUN	,
en	PRP	en
présence	NOM	présence
de	PRP	de
jackie	NOM	jackie
pierre	NOM	pierre
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
et	KON	et
de	PRP	de
michel	ADJ	michel
heinrich	NOM	heinrich
,	PUN	,
député	VER:pper	députer
de	PRP	de
la	DET:ART	le
circonscription	NOM	circonscription
.	SENT	.
