l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
michel	NOM	michel
hentzler	NOM	hentzler
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
13	NUM	@card@
;	PUN	;
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
90.73	NUM	@card@
.	SENT	.
80	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
ecole	NOM	ecole
de	PRP	de
tennis	NOM	tennis
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
claude	NOM	claude
et	KON	et
jean-marie	NOM	jean-marie
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
gym	NOM	gym
volontaire	ADJ	volontaire
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
patricia	NOM	patricia
.	SENT	.
