«	PUN:cit	«
en	PRP	en
meuse	NOM	meuse
,	PUN	,
on	PRO:PER	on
considère	VER:pres	considérer
toujours	ADV	toujours
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
honneur	NOM	honneur
d'	PRP	de
amener	VER:infi	amener
une	NUM	un
de	PRP	de
ses	DET:POS	son
bêtes	NOM	bête
au	PRP:det	au
salon	NOM	salon
de	PRP	de
l'	DET:ART	le
agriculture	NOM	agriculture
»,	ADJ	»,
assure	VER:pres	assurer
jean-marie	NOM	jean-marie
ollinger	ADJ	ollinger
,	PUN	,
le	DET:ART	le
responsable	ADJ	responsable
de	PRP	de
l'	DET:ART	le
association	NOM	association
départementale	ADJ	départemental
des	PRP:det	du
éleveurs	NOM	éleveur
de	PRP	de
prim'holstein	NOM	prim'holstein
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
été	VER:pper	être
sélectionnés	VER:pper	sélectionner
par	PRP	par
leurs	DET:POS	leur
unions	NOM	union
pour	PRP	pour
la	DET:ART	le
promotion	NOM	promotion
de	PRP	de
la	DET:ART	le
race	NOM	race
respectives	ADJ	respectif
,	PUN	,
huit	NUM	huit
animaux	NOM	animal
iront	VER:futu	aller
représenter	VER:infi	représenter
la	DET:ART	le
meuse	NOM	meuse
,	PUN	,
du	PRP:det	du
22	NUM	@card@
février	NOM	février
au	PRP:det	au
2	NUM	@card@
mars	NOM	mars
,	PUN	,
au	PRP:det	au
salon	NOM	salon
international	ADJ	international
de	PRP	de
l'	DET:ART	le
agriculture	NOM	agriculture
.	SENT	.
voici	ADV	voici
la	DET:ART	le
liste	NOM	liste
de	PRP	de
leurs	DET:POS	leur
éleveurs	NOM	éleveur
.	SENT	.
bovins	ADJ	bovin
:	PUN	:
fabrice	ADJ	fabrice
jacquemot	NOM	jacquemot
et	KON	et
toto	NOM	toto
berthélémy	NOM	berthélémy
du	PRP:det	du
gaec	NOM	gaec
de	PRP	de
la	DET:ART	le
cour	NOM	cour
à	PRP	à
senon	ADJ	senon
,	PUN	,
jean-louis	NOM	jean-louis
periquet	NOM	periquet
de	PRP	de
gincrey	NOM	gincrey
,	PUN	,
jean-baptiste	NOM	jean-baptiste
decheppe	NOM	decheppe
et	KON	et
frédéric	NOM	frédéric
vaillant	ADJ	vaillant
de	PRP	de
gémécourt	NAM	gémécourt
,	PUN	,
et	KON	et
jean-marie	NOM	jean-marie
ollinger	ADJ	ollinger
de	PRP	de
l'	DET:ART	le
élevage	NOM	élevage
de	PRP	de
l'	DET:ART	le
espérance	NOM	espérance
à	PRP	à
manheulles	NOM	manheulles
,	PUN	,
pour	PRP	pour
ce	PRO:DEM	ce
qui	PRO:REL	qui
concerne	VER:pres	concerner
les	DET:ART	le
prim'holstein	NOM	prim'holstein
;	PUN	;
sans	PRP	sans
oublier	VER:infi	oublier
michel	NOM	michel
quinot	NOM	quinot
,	PUN	,
de	PRP	de
taillancourt	NOM	taillancourt
,	PUN	,
dans	PRP	dans
la	DET:ART	le
catégorie	NOM	catégorie
simmental	ADJ	simmental
française	ADJ	français
.	SENT	.
ovins	ADJ	ovin
:	PUN	:
daniel	ADJ	daniel
hélas	VER:simp	héler
de	PRP	de
amel-sur-l'etang	NOM	amel-sur-l'etang
.	SENT	.
chevaux	NOM	cheval
:	PUN	:
robert	NOM	robert
champion	NOM	champion
de	PRP	de
verdun	NOM	verdun
;	PUN	;
et	KON	et
richard	NOM	richard
hennequin	NOM	hennequin
de	PRP	de
damvillers	NOM	damvillers
.	SENT	.
