mercredi	NOM	mercredi
:	PUN	:
rugby	NOM	rugby
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
-	PUN	-
16	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
et	KON	et
filles	NOM	fille
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
grand	ADJ	grand
gymnase	NOM	gymnase
;	PUN	;
cours	NOM	cour|cours
de	PRP	de
violon	NOM	violon
école	NOM	école
renom	NOM	renom
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
cours	NOM	cour|cours
de	PRP	de
piano	ADV	piano
adultes	ADJ	adulte
et	KON	et
enfants	NOM	enfant
à	PRP	à
16	NUM	@card@
h	ABR	heure
;	PUN	;
handball	NOM	handball
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
au	PRP:det	au
grand	ADJ	grand
gymnase	NOM	gymnase
;	PUN	;
répétition	NOM	répétition
de	PRP	de
la	DET:ART	le
chorale	NOM	chorale
du	PRP:det	du
damvillois	NOM	damvillois
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
paré	VER:pper	parer
à	PRP	à
20	NUM	@card@
h	ABR	heure
;	PUN	;
step	NOM	step
adultes	ADJ	adulte
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
permanence	NOM	permanence
du	PRP:det	du
caue	VER:pper	caue
,	PUN	,
m.	ABR	m.
leclerc	NOM	leclerc
,	PUN	,
à	PRP	à
9	NUM	@card@
h	ABR	heure
sur	PRP	sur
rendez-vous	NOM	rendez-vous
;	PUN	;
gym	NOM	gym
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
à	PRP	à
9	NUM	@card@
h	ABR	heure
;	PUN	;
club	NOM	club
du	PRP:det	du
troisième	NUM	troisième
âge	NOM	âge
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
ambroise-paré	ADJ	ambroise-paré
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
;	PUN	;
permanence	NOM	permanence
de	PRP	de
l'	DET:ART	le
assistante	NOM	assistant
sociale	ADJ	social
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
;	PUN	;
atelier	NOM	atelier
couture	NOM	couture
de	PRP	de
la	DET:ART	le
croix-rouge	NOM	croix-rouge
,	PUN	,
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
couvent	NOM	couvent
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
bibliothèque	NOM	bibliothèque
andré-theuriet	ADJ	andré-theuriet
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
funny	NOM	funny
step	NOM	step
danse	VER:pres	danser
pour	PRP	pour
les	DET:ART	le
9	NUM	@card@
-	PUN	-
11	NUM	@card@
ans	NOM	an
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
cinéma	NOM	cinéma
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
marche	NOM	marche
,	PUN	,
rendez-vous	NOM	rendez-vous
sous	PRP	sous
la	DET:ART	le
voûte	NOM	voûte
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
ping-pong	NOM	ping-pong
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
entraînement	NOM	entraînement
de	PRP	de
hand	NOM	hand
pour	PRP	pour
les	DET:ART	le
seniors	NOM	senior
à	PRP	à
20	NUM	@card@
h	ABR	heure
au	PRP:det	au
grand	ADJ	grand
gymnase	NOM	gymnase
.	SENT	.
