médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
mme	VER:simp	mme
ducret	NOM	ducret
,	PUN	,
23	NUM	@card@
avenue	NOM	avenue
pierre	NOM	pierre
sémard	ADJ	sémard
à	PRP	à
blainville	NOM	blainville
.	SENT	.
siad	NOM	siad
des	PRP:det	du
trois-rivières	NOM	trois-rivières
:	PUN	:
permanence	NOM	permanence
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
75.94	NUM	@card@
.	SENT	.
50	NUM	@card@
club	NOM	club
scrabble	NOM	scrabble
:	PUN	:
ouvert	VER:pper	ouvrir
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
restaurant	NOM	restaurant
du	PRP:det	du
rampeux	NOM	rampeux
.	SENT	.
mission	NOM	mission
emploi	NOM	emploi
:	PUN	:
permanence	NOM	permanence
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
ccas	NOM	ccas
:	PUN	:
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
ines	VER:futu	ines
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
cpam	NOM	cpam
:	PUN	:
permanence	NOM	permanence
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
centre	NOM	centre
médico-social	ADJ	médico-social
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
kiosque	NOM	kiosque
ij	NOM	ij
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dom	NOM	saint-dom
.	SENT	.
bibliothèque	NOM	bibliothèque
eau	NOM	eau
vive	ADJ	vif
:	PUN	:
ouverte	VER:pper	ouvrir
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
assistante	NOM	assistant
sociale	ADJ	social
sncf	NOM	sncf
:	PUN	:
permanence	NOM	permanence
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
service	NOM	service
social	ADJ	social
,	PUN	,
bâtiment	NOM	bâtiment
c	VER:pper	c
des	PRP:det	du
cités	NOM	cité
est	VER:pres	être
.	SENT	.
coffre	NOM	coffre
des	PRP:det	du
découvertes	NOM	découverte
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mfc	NOM	mfc
.	SENT	.
centre	NOM	centre
médico-social	ADJ	médico-social
:	PUN	:
ouvert	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
