l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
guy	ADJ	guy
henrion	NOM	henrion
,	PUN	,
6	NUM	@card@
rue	NOM	rue
de	PRP	de
chiny	NOM	chiny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
et	KON	et
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
80.03	NUM	@card@
.	SENT	.
30	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
nuit	NOM	nuit
:	PUN	:
laurent	VER:pres	laurer
à	PRP	à
stenay	NOM	stenay
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
80.30	NUM	@card@
.	SENT	.
70	NUM	@card@
bibliothèque	NOM	bibliothèque
pour	PRP	pour
tous	PRO:IND	tout
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
rue	NOM	rue
pasteur	NOM	pasteur
.	SENT	.
jujitsu	NOM	jujitsu
à	PRP	à
19	NUM	@card@
h	ABR	heure
15	NUM	@card@
