ce	PRO:DEM	ce
samedi	NOM	samedi
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
se	PRO:PER	se
dérouleront	VER:futu	dérouler
en	PRP	en
l'	DET:ART	le
église	NOM	église
des	PRP:det	du
rêpes	NOM	rêpes
les	DET:ART	le
obsèques	NOM	obsèques
de	PRP	de
michel	NOM	michel
goichot	ADJ	goichot
,	PUN	,
décédé	VER:pper	décéder
mercredi	NOM	mercredi
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
à	PRP	à
besançon	NOM	besançon
,	PUN	,
où	PRO:REL	où
il	PRO:PER	il
vivait	VER:impf	vivre
depuis	PRP	depuis
quelques	PRO:IND	quelque
mois	NOM	moi|mois
.	SENT	.
né	VER:pper	naître
à	PRP	à
vesoul	NOM	vesoul
le	DET:ART	le
25	NUM	@card@
juillet	NOM	juillet
1951	NUM	@card@
michel	NOM	michel
goichot	ADJ	goichot
était	VER:impf	être
ouvrier	ADJ	ouvrier
d'	PRP	de
usine	NOM	usine
chez	PRP	chez
peugeot	NOM	peugeot
.	SENT	.
il	PRO:PER	il
avait	VER:impf	avoir
été	VER:pper	être
père	NOM	père
de	PRP	de
quatre	NUM	quatre
enfants	NOM	enfant
issus	ADJ	issu
de	PRP	de
deux	NUM	deux
mariages	NOM	mariage
.	SENT	.
nos	DET:POS	notre
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
