chaque	PRO:IND	chaque
jour	NOM	jour
,	PUN	,
les	DET:ART	le
enfants	NOM	enfant
des	PRP:det	du
écoles	NOM	école
pagnol	ADJ	pagnol
et	KON	et
pergaud	NOM	pergaud
voient	VER:pres	voir
,	PUN	,
au	PRP:det	au
milieu	NOM	milieu
de	PRP	de
la	DET:ART	le
cour	NOM	cour
,	PUN	,
la	DET:ART	le
progression	NOM	progression
du	PRP:det	du
chantier	NOM	chantier
du	PRP:det	du
préau	NOM	préau
qui	PRO:REL	qui
les	PRO:PER	la|le
abritera	VER:futu	abriter
bientôt	ADV	bientôt
.	SENT	.
les	DET:ART	le
gamins	NOM	gamin
devraient	VER:cond	devoir
pouvoir	NOM	pouvoir
se	PRO:PER	se
retrouver	VER:infi	retrouver
,	PUN	,
avant	PRP	avant
le	DET:ART	le
printemps	NOM	printemps
,	PUN	,
sous	PRP	sous
cette	PRO:DEM	ce
structure	NOM	structure
de	PRP	de
métal	NOM	métal
posée	VER:pper	poser
sur	PRP	sur
un	DET:ART	un
mur	NOM	mur
en	PRP	en
béton	NOM	béton
,	PUN	,
un	DET:ART	un
vrai	ADJ	vrai
mur	NOM	mur
monté	VER:pper	monter
contre	PRP	contre
le	DET:ART	le
vent	NOM	vent
,	PUN	,
tel	PRO:DEM	tel
qu'	PRO:REL	que
en	PRO:PER	en
rêvent	VER:pres	rêver
ceux	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
école	NOM	école
poincaré	ADJ	poincaré
.	SENT	.
bien	ADV	bien
sûr	ADJ	sûr
,	PUN	,
le	DET:ART	le
chantier	NOM	chantier
est	VER:pres	être
en	PRP	en
retard	NOM	retard
,	PUN	,
mais	KON	mais
il	PRO:PER	il
avance	VER:pres	avancer
sûrement	ADV	sûrement
et	KON	et
les	DET:ART	le
élèves	NOM	élève
et	KON	et
leurs	DET:POS	leur
enseignants	NOM	enseignant
apprécieront	VER:futu	apprécier
de	PRP	de
se	PRO:PER	se
retrouver	VER:infi	retrouver
bien	ADV	bien
protéger	VER:infi	protéger
les	DET:ART	le
jours	NOM	jour
de	PRP	de
mauvais	ADJ	mauvais
temps	NOM	temps
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
bien	ADV	bien
le	DET:ART	le
dire	NOM	dire
:	PUN	:
le	DET:ART	le
provisoire	ADJ	provisoire
dans	PRP	dans
la	DET:ART	le
toile	NOM	toile
du	PRP:det	du
marabout	NOM	marabout
depuis	PRP	depuis
trois	NUM	trois
ans	NOM	an
,	PUN	,
ça	PRO:DEM	cela
commence	VER:pres	commencer
à	PRP	à
suffire	VER:infi	suffire
!	SENT	!
il	PRO:PER	il
reste	VER:pres	rester
à	PRP	à
vérifier	VER:infi	vérifier
pourquoi	ADV	pourquoi
les	DET:ART	le
têtes	NOM	tête
pensantes	ADJ	pensant
du	PRP:det	du
projet	NOM	projet
ont	VER:pres	avoir
planté	VER:pper	planter
un	DET:ART	un
poteau	NOM	poteau
de	PRP	de
soutènement	NOM	soutènement
du	PRP:det	du
toit	NOM	toit
en	PRP	en
plein	ADJ	plein
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
de	PRP	de
handball	NOM	handball
:	PUN	:
«	PUN:cit	«
on	PRO:PER	on
sera	VER:futu	être
obligé	VER:pper	obliger
de	PRP	de
demander	VER:infi	demander
aux	PRP:det	au
enfants	NOM	enfant
une	DET:ART	un
grande	ADJ	grand
attention	NOM	attention
et	KON	et
les	DET:ART	le
tirs	NOM	tir
au	PRP:det	au
but	NOM	but
ne	ADV	ne
pourront	VER:futu	pouvoir
plus	ADV	plus
se	PRO:PER	se
faire	VER:infi	faire
que	KON	que
du	PRP:det	du
côté	NOM	côté
droit	ADJ	droit
.	SENT	.
il	PRO:PER	il
va	VER:pres	aller
falloir	VER:infi	falloir
éviter	VER:infi	éviter
les	DET:ART	le
accidents	NOM	accident
»,	ADJ	»,
remarque	VER:pres	remarquer
un	DET:ART	un
des	PRP:det	du
enseignants	NOM	enseignant
,	PUN	,
un	DET:ART	un
brin	NOM	brin
dépité	VER:pper	dépiter
.	SENT	.
les	DET:ART	le
penseurs	NOM	penseur
du	PRP:det	du
projet	NOM	projet
ne	ADV	ne
seront	VER:futu	être
malheureusement	ADV	malheureusement
pas	ADV	pas
les	DET:ART	le
utilisateurs	NOM	utilisateur
.	SENT	.
«	PUN:cit	«
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pourtant	ADV	pourtant
pas	ADV	pas
la	DET:ART	le
place	NOM	place
qui	PRO:REL	qui
manque	VER:pres	manquer
»,	ADJ	»,
note	VER:pres	noter
un	DET:ART	un
parent	NOM	parent
d'	PRP	de
élève	NOM	élève
déçu	ADJ	déçu
