c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
grande	ADJ	grand
tristesse	NOM	tristesse
que	PRO:REL	que
nous	PRO:PER	nous
avons	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
d'	PRP	de
yves	ADJ	yves
champlon	NOM	champlon
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
29	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
célibataire	NOM	célibataire
,	PUN	,
il	PRO:PER	il
travaillait	VER:impf	travailler
à	PRP	à
la	DET:ART	le
ville	NOM	ville
de	PRP	de
commercy	NOM	commercy
depuis	PRP	depuis
1989	NUM	@card@
il	PRO:PER	il
se	PRO:PER	se
passionnait	VER:impf	passionner
pour	PRP	pour
la	DET:ART	le
pêche	NOM	pêche
et	KON	et
aimait	VER:impf	aimer
faire	VER:infi	faire
les	DET:ART	le
vendanges	NOM	vendange
chaque	PRO:IND	chaque
année	NOM	année
depuis	PRP	depuis
1976	NUM	@card@
les	DET:ART	le
obsèques	NOM	obsèques
ont	VER:pres	avoir
été	VER:pper	être
célébrées	VER:pper	célébrer
jeudi	NOM	jeudi
2	NUM	@card@
janvier	NOM	janvier
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
