c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
pensée	NOM	pensée
émue	VER:pper	émouvoir
que	KON	que
les	DET:ART	le
habitants	NOM	habitant
du	PRP:det	du
village	NOM	village
ont	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
de	PRP	de
fernande	ADJ	fernande
haure	NOM	haure
.	SENT	.
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
éteinte	VER:pper	éteindre
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
79	NUM	@card@
ans	NOM	an
,	PUN	,
après	PRP	après
une	DET:ART	un
courte	ADJ	court
hospitalisation	NOM	hospitalisation
,	PUN	,
au	PRP:det	au
chu	VER:pper	choir
de	PRP	de
brabois	NOM	brabois
,	PUN	,
le	DET:ART	le
28	NUM	@card@
janvier	NOM	janvier
.	SENT	.
fernande	ADJ	fernande
haure	NOM	haure
,	PUN	,
née	VER:pper	naître
paton	NOM	paton
,	PUN	,
avait	VER:impf	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
à	PRP	à
trouville-sur-mer	VER:infi	trouville-sur-mer
(	PUN	(
calvados	NOM	calvados
),	NOM	),
le	DET:ART	le
31	NUM	@card@
août	NOM	août
1923	NUM	@card@
en	PRP	en
secondes	NUM	second
noces	NOM	noce
,	PUN	,
elle	PRO:PER	elle
épouse	VER:pres	épouser
marcel	ADJ	marcel
haure	NOM	haure
,	PUN	,
le	DET:ART	le
4	NUM	@card@
mai	NOM	mai
1968	NUM	@card@
à	PRP	à
bonnelosq	NOM	bonnelosq
(	PUN	(
calvados	NOM	calvados
).	VER:ppre	).
le	DET:ART	le
couple	NOM	couple
vient	VER:pres	venir
habiter	VER:infi	habiter
à	PRP	à
pretz-en-argonne	NOM	pretz-en-argonne
,	PUN	,
dans	PRP	dans
les	DET:ART	le
années	NOM	année
70	NUM	@card@
de	PRP	de
son	DET:POS	son
premier	NUM	premier
mariage	NOM	mariage
,	PUN	,
sont	VER:pres	être
nés	VER:pper	naître
quatre	NUM	quatre
enfants	NOM	enfant
dont	PRO:REL	dont
un	DET:ART	un
seul	NOM	seul
lui	PRO:PER	lui
a	VER:pres	avoir
donné	VER:pper	donner
une	DET:ART	un
petite	ADJ	petit
fille	NOM	fille
,	PUN	,
isabelle	ADJ	isabelle
.	SENT	.
personne	ADV	personne
très	ADV	très
effacée	VER:pper	effacer
,	PUN	,
elle	PRO:PER	elle
aimait	VER:impf	aimer
surtout	ADV	surtout
la	DET:ART	le
lecture	NOM	lecture
et	KON	et
les	DET:ART	le
mots	NOM	mot
croisés	ADJ	croisé
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
au	PRP:det	au
crématorium	NOM	crématorium
de	PRP	de
vand	ADJ	vand
	NOM	
uvre-lès-nancy	ADJ	uvre-lès-nancy
,	PUN	,
lundi	NOM	lundi
3	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
10	NUM	@card@
h.	ABR	h.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
