simples	ADJ	simple
:	PUN	:
beigbeder	NOM	beigbeder
(	PUN	(
153	NUM	@card@
fra	NOM	fra
)	PUN	)
bat	VER:pres	battre
gehrlein	NOM	gehrlein
(	PUN	(
287	NUM	@card@
all	NOM	all
)	PUN	)
6	NUM	@card@
-	PUN	-
1	NUM	@card@
2	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
0	NUM	@card@
lefevre	NOM	lefevre
(	PUN	(
318	NUM	@card@
fra	NOM	fra
)	PUN	)
bat	VER:pres	battre
heitz	NAM	heitz
(	PUN	(
284	NUM	@card@
fra	NOM	fra
)	PUN	)
7	NUM	@card@
-	PUN	-
5	NUM	@card@
5	NUM	@card@
-	PUN	-
7	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
taton	NOM	taton
(	PUN	(
358	NUM	@card@
bel	NOM	bel
)	PUN	)
bat	VER:pres	battre
pullin	ADJ	pullin
(	PUN	(
192	NUM	@card@
ang	NOM	ang
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
7	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
liu	NOM	liu
(	PUN	(
296	NUM	@card@
chi	NOM	chi
)	PUN	)
bat	VER:pres	battre
beigbeder	NOM	beigbeder
(	PUN	(
155	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
0	NUM	@card@
vierin	NOM	vierin
(	PUN	(
163	NUM	@card@
ita	NOM	ita
)	PUN	)
bat	VER:pres	battre
erre	NOM	erre
(	PUN	(
338	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
hedjova	NOM	hedjova
(	PUN	(
243	NUM	@card@
rep	NOM	rep
tch	ADJ	tch
)	PUN	)
bat	VER:pres	battre
singla	ADJ	singla
(	PUN	(
674	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
kheotavong	NOM	kheotavong
(	PUN	(
235	NUM	@card@
ang	NOM	ang
)	PUN	)
bat	VER:pres	battre
lefevre	NOM	lefevre
(	PUN	(
318	NUM	@card@
fra	NOM	fra
)	PUN	)
6	NUM	@card@
-	PUN	-
2	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
doubles	NOM	double
:	PUN	:
hedjova/pullin	NOM	hedjova/pullin
battent	VER:pres	battre
hernandez/singla	NOM	hernandez/singla
7	NUM	@card@
-	PUN	-
6	NUM	@card@
4	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
2	NUM	@card@
liu/xie	NOM	liu/xie
battent	VER:pres	battre
johansson/laurendon	NOM	johansson/laurendon
4	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
liu/xie	NOM	liu/xie
battent	VER:pres	battre
johansson/laurendon	NOM	johansson/laurendon
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
gussoni/vedy	NOM	gussoni/vedy
battent	VER:pres	battre
birnerova/heitz	NAM	birnerova/heitz
5	NUM	@card@
-	PUN	-
7	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
hedjova/pullin	NOM	hedjova/pullin
battent	VER:pres	battre
gourevitch/savransky	NOM	gourevitch/savransky
6	NUM	@card@
-	PUN	-
3	NUM	@card@
7	NUM	@card@
-	PUN	-
6	NUM	@card@
