c'	PRO:DEM	ce
est	VER:pres	être
sur	PRP	sur
convocation	NOM	convocation
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
que	PRO:REL	que
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
chasseurs	NOM	chasseur
et	KON	et
la	DET:ART	le
commission	NOM	commission
chasse	VER:pres	chasser
communale	ADJ	communal
,	PUN	,
pour	PRP	pour
revoir	VER:infi	revoir
le	DET:ART	le
bail	NOM	bail
de	PRP	de
location	NOM	location
,	PUN	,
qui	PRO:REL	qui
arrive	VER:pres	arriver
à	PRP	à
son	DET:POS	son
terme	NOM	terme
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
avril	NOM	avril
.	SENT	.
la	DET:ART	le
commission	NOM	commission
propose	VER:pres	proposer
que	KON	que
deux	NUM	deux
associations	NOM	association
distinctes	ADJ	distinct
soient	VER:subp	être
constituées	VER:pper	constituer
,	PUN	,
une	NUM	un
pour	PRP	pour
la	DET:ART	le
chasse	NOM	chasse
en	PRP	en
forêt	NOM	forêt
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
pour	PRP	pour
la	DET:ART	le
plaine	NOM	plaine
.	SENT	.
le	DET:ART	le
lot	NOM	lot
forêt	NOM	forêt
concerne	VER:pres	concerner
466	NUM	@card@
ha	ABR	ha
,	PUN	,
et	KON	et
la	DET:ART	le
plaine	NOM	plaine
98	NUM	@card@
ha	ABR	ha
.	SENT	.
le	DET:ART	le
coût	NOM	coût
de	PRP	de
location	NOM	location
est	VER:pres	être
arrêté	VER:pper	arrêter
à	PRP	à
10	NUM	@card@
	ABR	
l'	DET:ART	le
ha	ABR	ha
.	SENT	.
des	PRP:det	du
bails	NOM	bails
de	PRP	de
location	NOM	location
de	PRP	de
6	NUM	@card@
ans	NOM	an
seraient	VER:cond	être
enregistrés	VER:pper	enregistrer
,	PUN	,
avec	PRP	avec
possibilité	NOM	possibilité
de	PRP	de
reconduction	NOM	reconduction
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
coût	NOM	coût
ne	ADV	ne
sera	VER:futu	être
pas	ADV	pas
indexé	VER:pper	indexer
durant	PRP	durant
les	DET:ART	le
6	NUM	@card@
ans	NOM	an
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
de	PRP	de
chacune	PRO:IND	chacun
des	PRP:det	du
associations	NOM	association
constituées	VER:pper	constituer
devra	VER:futu	devoir
obligatoirement	ADV	obligatoirement
comprendre	VER:infi	comprendre
deux	NUM	deux
représentants	NOM	représentant
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
,	PUN	,
non	ADV	non
chasseurs	NOM	chasseur
.	SENT	.
les	DET:ART	le
chasseurs	NOM	chasseur
qui	PRO:REL	qui
souhaitent	VER:pres	souhaiter
adhérer	VER:infi	adhérer
à	PRP	à
l'	DET:ART	le
un	NOM	un
ou	KON	ou
l'	DET:ART	le
autre	ADJ	autre
des	PRP:det	du
lots	NOM	lot
doivent	VER:pres	devoir
s'	PRO:PER	se
inscrire	VER:infi	inscrire
en	PRP	en
mairie	NOM	mairie
avant	PRP	avant
le	DET:ART	le
7	NUM	@card@
février	NOM	février
,	PUN	,
17	NUM	@card@
h.	ABR	h.
châtenois	ADJ	châtenois
compte	NOM	compte
45	NUM	@card@
chasseurs	NOM	chasseur
,	PUN	,
et	KON	et
la	DET:ART	le
loi	NOM	loi
accorde	VER:pres	accorder
25	NUM	@card@
fusils	NOM	fusil
pour	PRP	pour
une	DET:ART	un
surface	NOM	surface
de	PRP	de
300	NUM	@card@
à	PRP	à
600	NUM	@card@
ha	ABR	ha
.	SENT	.
s'	PRO:PER	se
il	PRO:PER	il
se	PRO:PER	se
présente	VER:pres	présenter
trop	ADV	trop
de	PRP	de
demandes	NOM	demande
,	PUN	,
une	DET:ART	un
seule	ADJ	seul
place	NOM	place
sera	VER:futu	être
accordée	VER:pper	accorder
par	PRP	par
personne	NOM	personne
,	PUN	,
les	DET:ART	le
candidatures	NOM	candidature
seront	VER:futu	être
enregistrées	VER:pper	enregistrer
par	PRP	par
ordre	NOM	ordre
d'	PRP	de
arrivée	NOM	arrivé|arrivée
.	SENT	.
si	KON	si
en	PRO:PER	en
revanche	VER:pres	revancher
le	DET:ART	le
nombre	NOM	nombre
de	PRP	de
candidats	NOM	candidat
est	VER:pres	être
insuffisant	ADJ	insuffisant
,	PUN	,
des	PRP:det	du
chasseurs	NOM	chasseur
non	ADV	non
castiniens	ADJ	castiniens
pourront	VER:futu	pouvoir
être	VER:infi	être
recrutés	VER:pper	recruter
.	SENT	.
