hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
antoine	NOM	antoine
morandini	VER:pper	morandini
,	PUN	,
maire	NOM	maire
de	PRP	de
beaucourt	NOM	beaucourt
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
les	DET:ART	le
destinées	NOM	destinée
de	PRP	de
darko	NOM	darko
stefanovic	ADJ	stefanovic
,	PUN	,
mécanicien-monteur	NOM	mécanicien-monteur
,	PUN	,
né	VER:pper	naître
à	PRP	à
montbéliard	NOM	montbéliard
le	DET:ART	le
14	NUM	@card@
mai	NOM	mai
1977	NUM	@card@
et	KON	et
de	PRP	de
jasmina	NOM	jasmina
ivkovic	ADJ	ivkovic
,	PUN	,
vendeuse	ADJ	vendeur
,	PUN	,
née	VER:pper	naître
à	PRP	à
kragyevac	NOM	kragyevac
(	PUN	(
yougoslavie	NOM	yougoslavie
)	PUN	)
le	DET:ART	le
15	NUM	@card@
mai	NOM	mai
1972	NUM	@card@
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
