en	PRO:PER	en
revenant	VER:ppre	revenir
dans	PRP	dans
sa	DET:POS	son
résidence	NOM	résidence
secondaire	ADJ	secondaire
de	PRP	de
provenchères-sur-fave	ADJ	provenchères-sur-fave
hier	NOM	hier
,	PUN	,
son	DET:POS	son
propriétaire	NOM	propriétaire
a	VER:pres	avoir
constaté	VER:pper	constater
un	DET:ART	un
cambriolage	NOM	cambriolage
par	PRP	par
effraction	NOM	effraction
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
vraisemblablement	ADV	vraisemblablement
eu	VER:pper	avoir
lieu	NOM	lieu
le	DET:ART	le
3	NUM	@card@
janvier	NOM	janvier
.	SENT	.
le	DET:ART	le
butin	NOM	butin
porte	VER:pres	porter
sur	PRP	sur
du	PRP:det	du
matériel	NOM	matériel
hi-fi	ADJ	hi-fi
.	SENT	.
enquête	NOM	enquête
de	PRP	de
la	DET:ART	le
gendarmerie	NOM	gendarmerie
.	SENT	.
