demain	ADV	demain
dimanche	NOM	dimanche
,	PUN	,
«	PUN:cit	«
la	DET:ART	le
vaillante	ADJ	vaillant
»	PUN:cit	»
de	PRP	de
sampigny	NAM	sampigny
et	KON	et
«	PUN:cit	«
l'	DET:ART	le
avant-garde	NOM	avant-garde
»	PUN:cit	»
de	PRP	de
lérouville	NOM	lérouville
se	PRO:PER	se
réuniront	VER:futu	réunir
au	PRP:det	au
foyer	NOM	foyer
jeanne-d'arc	NOM	jeanne-d'arc
pour	PRP	pour
partager	VER:infi	partager
la	DET:ART	le
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
