hier	ADV	hier
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
frédéric	NOM	frédéric
tissier	ADJ	tissier
,	PUN	,
maire	NOM	maire
,	PUN	,
unissait	VER:impf	unir
par	PRP	par
les	DET:ART	le
liens	NOM	lien
du	PRP:det	du
mariage	NOM	mariage
,	PUN	,
sandrine	NOM	sandrine
martin	NOM	martin
,	PUN	,
vendeuse	ADJ	vendeur
et	KON	et
raphaël	ADJ	raphaël
cleuvenot	NOM	cleuvenot
,	PUN	,
gérant	VER:ppre	gérer
du	PRP:det	du
shaker	NOM	shaker
à	PRP	à
neufchâteau	NOM	neufchâteau
.	SENT	.
sandrine	NOM	sandrine
est	VER:pres	être
la	DET:ART	le
fille	NOM	fille
d'	PRP	de
andré	ADJ	andré
martin	NOM	martin
,	PUN	,
retraité	VER:pper	retraiter
et	KON	et
de	PRP	de
colette	NOM	colette
,	PUN	,
née	VER:pper	naître
thomas	NOM	thomas
,	PUN	,
retraitée	VER:pper	retraiter
,	PUN	,
domiciliés	VER:pper	domicilier
à	PRP	à
moncel-sur-vair	NOM	moncel-sur-vair
.	SENT	.
raphaël	NAM	Raphaël
est	VER:pres	être
le	DET:ART	le
fils	NOM	fil|fils
d'	PRP	de
odette	NOM	odette
osselet	NOM	osselet
,	PUN	,
retraitée	VER:pper	retraiter
,	PUN	,
domiciliée	VER:pper	domicilier
dans	PRP	dans
l'	DET:ART	le
aube	NOM	aube
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
