hier	ADV	hier
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
raymond	NOM	raymond
forni	VER:pper	forni
,	PUN	,
maire	NOM	maire
de	PRP	de
delle	NOM	delle
,	PUN	,
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
ludovic	NOM	ludovic
lardon	NOM	lardon
,	PUN	,
polisseur	NOM	polisseur
,	PUN	,
né	VER:pper	naître
à	PRP	à
delémont	NOM	delémont
le	DET:ART	le
14	NUM	@card@
octobre	NOM	octobre
1977	NUM	@card@
et	KON	et
de	PRP	de
karine	ADJ	karine
maule	NOM	maule
,	PUN	,
satineuse	NOM	satineur
,	PUN	,
née	VER:pper	naître
à	PRP	à
belfort	NOM	belfort
le	DET:ART	le
23	NUM	@card@
janvier	NOM	janvier
1979	NUM	@card@
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
