correspondant	VER:ppre	correspondre
:	PUN	:
contacter	VER:infi	contacter
t.	VER:futu	t.
millet	NOM	millet
sur	PRP	sur
le	DET:ART	le
portable	ADJ	portable
au	PRP:det	au
06.62	NUM	@card@
.	SENT	.
12.52	NUM	@card@
.	SENT	.
91	NUM	@card@
ou	KON	ou
p.	VER:simp	p.
serra	NOM	serra
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
30.01	NUM	@card@
.	SENT	.
34	NUM	@card@
annexe	ADJ	annexe
mairie	NOM	mairie
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
ccas	NOM	ccas
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
96.87	NUM	@card@
.	SENT	.
59	NUM	@card@
pôle	NOM	pôle
emploi	NOM	emploi
intercommunal	ADJ	intercommunal
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
98.91	NUM	@card@
.	SENT	.
92	NUM	@card@
halte-garderie	NOM	halte-garderie
«	PUN:cit	«
ùles	ADJ	ùles
canailloux	NOM	canailloux
»	PUN:cit	»
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
96.48	NUM	@card@
.	SENT	.
47	NUM	@card@
complexe	ADJ	complexe
léo-lagrange	NOM	léo-lagrange
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
98.14	NUM	@card@
.	SENT	.
99	NUM	@card@
