c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
grande	ADJ	grand
joie	NOM	joie
que	KON	que
claire	NOM	claire
née	VER:pper	naître
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
régionale	ADJ	régional
de	PRP	de
nancy	NOM	nancy
est	VER:pres	être
venue	VER:pper	venir
agrandir	VER:infi	agrandir
le	DET:ART	le
foyer	NOM	foyer
de	PRP	de
walter	NOM	walter
esclafert	VER:pper	esclafert
,	PUN	,
ajusteur	NOM	ajusteur
au	PRP:det	au
service	NOM	service
de	PRP	de
la	DET:ART	le
fonderie	NOM	fonderie
à	PRP	à
plat	NOM	plat
à	PRP	à
st-gobain	ADJ	st-gobain
pam	NOM	pam
et	KON	et
de	PRP	de
laurence	NOM	laurence
martin	NOM	martin
,	PUN	,
secrétaire	NOM	secrétaire
commerciale	ADJ	commercial
aux	PRP:det	au
agf	NOM	agf
domiciliés	VER:pper	domicilier
1	NUM	@card@
rue	NOM	rue
de	PRP	de
laneuveville	NOM	laneuveville
dans	PRP	dans
la	DET:ART	le
commune	NOM	commune
.	SENT	.
claire	NOM	claire
et	KON	et
sa	DET:POS	son
s	NOM	s
	ADJ	
ur	VER:simp	ur
aînée	ADJ	aîné
julie	NOM	julie
font	VER:pres	faire
le	DET:ART	le
bonheur	NOM	bonheur
des	PRP:det	du
parents	NOM	parent|parents
et	KON	et
grands-parents	NOM	grands-parents
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
à	PRP	à
claude	NOM	claude
et	KON	et
félicitations	NOM	félicitation
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
