epinal	NOM	epinal
.	SENT	.
_	NOM	_
le	DET:ART	le
ciel	NOM	ciel
est	VER:pres	être
couvert	VER:pper	couvrir
sur	PRP	sur
le	DET:ART	le
massif	NOM	massif
vosgien	ADJ	vosgien
,	PUN	,
les	DET:ART	le
températures	NOM	température
évoluent	VER:pres	évoluer
de	PRP	de
-	PUN	-
1	NUM	@card@
à	PRP	à
-	PUN	-
3	NUM	@card@
°	ABR	°
c.	ABR	c.
les	DET:ART	le
hauteurs	NOM	hauteur
de	PRP	de
neige	NOM	neige
varient	VER:pres	varier
de	PRP	de
20	NUM	@card@
à	PRP	à
40	NUM	@card@
cm	NOM	cm
.	SENT	.
grâce	NOM	grâce
aux	PRP:det	au
dernières	ADJ	dernier
chutes	NOM	chute
de	PRP	de
neige	NOM	neige
et	KON	et
à	PRP	à
la	DET:ART	le
neige	NOM	neige
de	PRP	de
culture	NOM	culture
produite	VER:pper	produire
par	PRP	par
les	DET:ART	le
canons	NOM	canon
,	PUN	,
les	DET:ART	le
stations	NOM	station
suivantes	ADJ	suivant
sont	VER:pres	être
ouvertes	VER:pper	ouvrir
:	PUN	:
la	DET:ART	le
bresse-hohneck	NOM	bresse-hohneck
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
partiellement	ADV	partiellement
avec	PRP	avec
neuf	ADJ	neuf
pistes	NOM	piste
.	SENT	.
ski	NOM	ski
nocturne	ADJ	nocturne
ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
vendredi	NOM	vendredi
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h.	ABR	h.
la	DET:ART	le
piste	NOM	piste
du	PRP:det	du
col	NOM	col
de	PRP	de
la	DET:ART	le
schlucht	NAM	schlucht
est	VER:pres	être
également	ADV	également
ouverte	VER:pper	ouvrir
.	SENT	.
la	DET:ART	le
bresse-lispach	NOM	bresse-lispach
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
partiellement	ADV	partiellement
avec	PRP	avec
la	DET:ART	le
piste	NOM	piste
école	NOM	école
,	PUN	,
la	DET:ART	le
piste	NOM	piste
verte	ADJ	vert
du	PRP:det	du
lac	NOM	lac
et	KON	et
la	DET:ART	le
piste	NOM	piste
bleue	ADJ	bleu
de	PRP	de
mariron	NOM	mariron
.	SENT	.
bussang	NOM	bussang
.	SENT	.
le	DET:ART	le
larcenaire	NOM	larcenaire
,	PUN	,
trois	NUM	trois
téléskis	NOM	téléski
sont	VER:pres	être
ouverts	VER:pper	ouvrir
.	SENT	.
gérardmer	NOM	gérardmer
.	SENT	.
domaine	NOM	domaine
skiable	ADJ	skiable
mauselaine-chaume	NOM	mauselaine-chaume
francis	VER:simp	francis
grouvelin	NOM	grouvelin
.	SENT	.
la	DET:ART	le
station	NOM	station
est	VER:pres	être
ouverte	VER:pper	ouvrir
partiellement	ADV	partiellement
avec	PRP	avec
deux	NUM	deux
pistes	NOM	piste
rouges	ADJ	rouge
,	PUN	,
deux	NUM	deux
pistes	NOM	piste
bleues	ADJ	bleu
,	PUN	,
neuf	ADJ	neuf
pistes	NOM	piste
vertes	ADJ	vert
et	KON	et
les	DET:ART	le
pistes	NOM	piste
vertes	ADJ	vert
écoles	NOM	école
.	SENT	.
ski	NOM	ski
nocturne	ADJ	nocturne
ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
,	PUN	,
