hier	ADV	hier
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
à	PRP	à
9	NUM	@card@
h	ABR	heure
10	NUM	@card@
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
toiture	NOM	toiture
à	PRP	à
roville-devant-bayon	NOM	roville-devant-bayon
et	KON	et
à	PRP	à
9	NUM	@card@
h	ABR	heure
45	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
varangéville	NOM	varangéville
.	SENT	.
