hier	ADV	hier
,	PUN	,
aux	PRP:det	au
alentours	NOM	alentour
de	PRP	de
10	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
s'	PRO:PER	se
est	VER:pres	être
déclaré	VER:pper	déclarer
au	PRP:det	au
domicile	NOM	domicile
de	PRP	de
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
saint-dizier	NOM	saint-dizier
,	PUN	,
rue	NOM	rue
du	PRP:det	du
général	ADJ	général
leclerc	NOM	leclerc
.	SENT	.
sous	PRP	sous
les	DET:ART	le
ordres	NOM	ordre
du	PRP:det	du
sergent-chef	NOM	sergent-chef
michel	ADJ	michel
binot	NOM	binot
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
ont	VER:pres	avoir
maîtrisé	VER:pper	maîtriser
le	DET:ART	le
sinistre	NOM	sinistre
.	SENT	.
