ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
danse	NOM	danse
des	PRP:det	du
petits	ADJ	petit
rats	NOM	rat
de	PRP	de
catherine	NOM	catherine
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
mardi	NOM	mardi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
réunion	NOM	réunion
des	PRP:det	du
membres	NOM	membre
du	PRP:det	du
cyclo-club	NOM	cyclo-club
à	PRP	à
l'	DET:ART	le
annexe	NOM	annexe
1	NUM	@card@
pour	PRP	pour
le	DET:ART	le
tirage	NOM	tirage
des	PRP:det	du
rois	NOM	roi
.	SENT	.
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
étang	NOM	étang
du	PRP:det	du
pré-gohi	NOM	pré-gohi
à	PRP	à
l'	DET:ART	le
amicale	ADJ	amical
solvay	NOM	solvay
.	SENT	.
vendredi	NOM	vendredi
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
conseil	NOM	conseil
municipal	ADJ	municipal
pour	PRP	pour
le	DET:ART	le
vote	NOM	vote
du	PRP:det	du
budget	NOM	budget
primitif	ADJ	primitif
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
midi	NOM	midi
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
repas	NOM	repas
moules-frites	NOM	moules-frites
,	PUN	,
organisé	VER:pper	organiser
par	PRP	par
la	DET:ART	le
commission	NOM	commission
de	PRP	de
l'	DET:ART	le
animation	NOM	animation
.	SENT	.
durant	PRP	durant
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
,	PUN	,
tournoi	NOM	tournoi
interdépartemental	ADJ	interdépartemental
de	PRP	de
basket	NOM	basket
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
roger-boileau	NOM	roger-boileau
et	KON	et
au	PRP:det	au
cosec	NOM	cosec
levassor	ADJ	levassor
.	SENT	.
