ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
locale	ADJ	local
évoluant	VER:ppre	évoluer
en	PRP	en
nationale	NOM	national
3	ABR	@card@
jouera	VER:futu	jouer
un	DET:ART	un
match	NOM	match
crucial	ADJ	crucial
face	NOM	face
à	PRP	à
dijon	NOM	dijon
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
charles	VER:subp	charles
roth	NOM	roth
.	SENT	.
dieulouard	NOM	dieulouard
,	PUN	,
premier	NOM	premier
non	ADV	non
relègable	ADJ	relègable
,	PUN	,
jouera	VER:futu	jouer
contre	PRP	contre
l'	DET:ART	le
équipe	NOM	équipe
bourguignonne	ADJ	bourguignon
,	PUN	,
séparée	VER:pper	séparer
seulement	ADV	seulement
d'	PRP	de
un	DET:ART	un
seul	ADJ	seul
point	NOM	point
au	PRP:det	au
classement	NOM	classement
du	PRP:det	du
nationale	NOM	national
3	NUM	@card@
les	DET:ART	le
hommes	NOM	homme
d'	PRP	de
hervé	ADJ	hervé
rotatinti	NOM	rotatinti
devront	VER:futu	devoir
livrer	VER:infi	livrer
un	DET:ART	un
grand	ADJ	grand
combat	NOM	combat
,	PUN	,
afin	KON	afin
de	PRP	de
ne	ADV	ne
pas	ADV	pas
tomber	VER:infi	tomber
dans	PRP	dans
la	DET:ART	le
zone	NOM	zone
rouge	ADJ	rouge
et	KON	et
grappiller	VER:infi	grappiller
quelques	PRO:IND	quelque
places	NOM	place
au	PRP:det	au
classement	NOM	classement
.	SENT	.
match	NOM	match
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
charles	VER:subp	charles
roth	NOM	roth
,	PUN	,
entrée	NOM	entrée
gratuite	ADJ	gratuit
.	SENT	.
