c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
13	NUM	@card@
h	ABR	heure
20	NUM	@card@
le	DET:ART	le
21	NUM	@card@
janvier	NOM	janvier
,	PUN	,
qu'	PRO:REL	que
est	VER:pres	être
né	VER:pper	naître
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
régionale	ADJ	régional
de	PRP	de
nancy	NOM	nancy
le	DET:ART	le
petit	ADJ	petit
titouan	NOM	titouan
.	SENT	.
pesant	VER:ppre	peser
2,540	NUM	@card@
kg	ABR	kg
et	KON	et
mesurant	VER:ppre	mesurer
45	NUM	@card@
cm	NOM	cm
à	PRP	à
sa	DET:POS	son
venue	NOM	venu|venue
au	PRP:det	au
monde	NOM	monde
,	PUN	,
le	DET:ART	le
bambin	NOM	bambin
rejoindra	VER:futu	rejoindre
bientôt	ADV	bientôt
au	PRP:det	au
domicile	NOM	domicile
familial	ADJ	familial
,	PUN	,
place	NOM	place
du	PRP:det	du
11	NUM	@card@
novembre	NOM	novembre
,	PUN	,
son	DET:POS	son
frère	NOM	frère
corentin	NOM	corentin
,	PUN	,
âgé	ADJ	âgé
de	PRP	de
4	NUM	@card@
ans	NOM	an
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
plus	ADV	plus
grande	ADJ	grand
joie	NOM	joie
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
,	PUN	,
aude	VER:pper	aude
,	PUN	,
institutrice	NOM	instituteur
,	PUN	,
et	KON	et
philippe	NOM	philippe
royer	VER:infi	royer
,	PUN	,
technicien	ADJ	technicien
.	SENT	.
toutes	PRO:IND	tout
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
