nous	PRO:PER	nous
avons	VER:pres	avoir
appris	VER:pper	apprendre
le	DET:ART	le
décès	NOM	décès
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
17	NUM	@card@
ans	NOM	an
,	PUN	,
d'	PRP	de
olivier	NOM	olivier
oberlehberg	NOM	oberlehberg
,	PUN	,
nageur	ADJ	nageur
au	PRP:det	au
cn	NOM	cn
epinal	NOM	epinal
.	SENT	.
a	VER:pres	avoir
sa	DET:POS	son
famille	NOM	famille
,	PUN	,
à	PRP	à
ses	DET:POS	son
amis	NOM	ami
,	PUN	,
la	DET:ART	le
rédaction	NOM	rédaction
sportive	ADJ	sportif
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
présente	VER:pres	présenter
ses	DET:POS	son
très	ADV	très
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
