pas	ADV	pas
de	PRP	de
trêve	NOM	trêve
des	PRP:det	du
confiseurs	NOM	confiseur
pour	PRP	pour
les	DET:ART	le
«	PUN:cit	«
monte	NOM	monte
en	PRP	en
l'	DET:ART	le
air	NOM	air
»	PUN:cit	»
et	KON	et
autres	ADJ	autre
petites	ADJ	petit
mains	NOM	main
du	PRP:det	du
cambriolage	NOM	cambriolage
.	SENT	.
au	PRP:det	au
lendemain	NOM	lendemain
du	PRP:det	du
réveillon	NOM	réveillon
de	PRP	de
la	DET:ART	le
saint-sylvestre	NOM	saint-sylvestre
,	PUN	,
les	DET:ART	le
propriétaires	NOM	propriétaire
de	PRP	de
deux	NUM	deux
chalets	NOM	chalet
utilisés	VER:pper	utiliser
en	PRP	en
résidences	NOM	résidence
secondaires	ADJ	secondaire
au	PRP:det	au
quartier	NOM	quartier
des	PRP:det	du
plateaux	NOM	plateau
à	PRP	à
plancher-les-mines	NOM	plancher-les-mines
,	PUN	,
ont	VER:pres	avoir
découvert	VER:pper	découvrir
que	KON	que
les	DET:ART	le
lieux	NOM	lieu
avaient	VER:impf	avoir
été	VER:pper	être
«	PUN:cit	«
visités	VER:pper	visiter
»	PUN:cit	»
la	DET:ART	le
gendarmerie	NOM	gendarmerie
de	PRP	de
champagney	NOM	champagney
a	VER:pres	avoir
été	VER:pper	être
avisée	VER:pper	aviser
.	SENT	.
