lundi	NOM	lundi
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
fille	NOM	fille
de	PRP	de
11	NUM	@card@
ans	NOM	an
a	VER:pres	avoir
fait	VER:pper	faire
une	DET:ART	un
chute	NOM	chute
au	PRP:det	au
collège	NOM	collège
jacques-callot	ADJ	jacques-callot
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
par	PRP	par
l'	DET:ART	le
ambulance	NOM	ambulance
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
au	PRP:det	au
service	NOM	service
des	PRP:det	du
enfants	NOM	enfant
du	PRP:det	du
chu	VER:pper	choir
de	PRP	de
brabois	NOM	brabois
.	SENT	.
a	VER:pres	avoir
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
une	DET:ART	un
dame	NOM	dame
de	PRP	de
37	NUM	@card@
ans	NOM	an
,	PUN	,
ayant	VER:ppre	avoir
fait	NOM	fait
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
domicile	NOM	domicile
à	PRP	à
neuves-maisons	NOM	neuves-maisons
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
saint-julien	ADJ	saint-julien
.	SENT	.
vers	PRP	vers
midi	NOM	midi
,	PUN	,
une	DET:ART	un
dame	NOM	dame
âgée	ADJ	âgé
de	PRP	de
69	NUM	@card@
ans	NOM	an
,	PUN	,
ayant	VER:ppre	avoir
fait	NOM	fait
une	DET:ART	un
chute	NOM	chute
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
à	PRP	à
chaligny	NAM	chaligny
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
saint-julien	NOM	saint-julien
.	SENT	.
a	VER:pres	avoir
14	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
ont	VER:pres	avoir
transporté	VER:pper	transporter
au	PRP:det	au
chu	VER:pper	choir
un	DET:ART	un
enfant	NOM	enfant
de	PRP	de
10	NUM	@card@
ans	NOM	an
victime	VER:pres	victimer
d'	PRP	de
un	DET:ART	un
malaise	NOM	malais|malaise
dans	PRP	dans
une	DET:ART	un
école	NOM	école
de	PRP	de
chaligny	NAM	chaligny
.	SENT	.
