lors	ADV	lors
de	PRP	de
sa	DET:POS	son
première	NUM	premier
réunion	NOM	réunion
de	PRP	de
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
,	PUN	,
l'	DET:ART	le
association	NOM	association
ùdétente	ADJ	ùdétente
et	KON	et
culture	NOM	culture
en	PRP	en
argonne	NOM	argonne
a	VER:pres	avoir
fêté	VER:pper	fêter
l'	DET:ART	le
epiphanie	NOM	epiphanie
en	PRP	en
dégustant	VER:ppre	déguster
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
un	DET:ART	un
roi	NOM	roi
et	KON	et
trois	NUM	trois
reines	NOM	reine
ont	VER:pres	avoir
été	VER:pper	être
couronnés	VER:pper	couronner
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
de	PRP	de
ce	PRO:DEM	ce
sympathique	ADJ	sympathique
après-midi	NOM	après-midi
récréatif	ADJ	récréatif
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
que	KON	que
la	DET:ART	le
prochaine	ADJ	prochain
réunion	NOM	réunion
du	PRP:det	du
club	NOM	club
aura	VER:futu	avoir
lieu	NOM	lieu
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
et	KON	et
qu'	KON	que
un	DET:ART	un
loto	NOM	loto
est	VER:pres	être
programmé	VER:pper	programmer
dimanche	NOM	dimanche
8	NUM	@card@
mars	NOM	mars
.	SENT	.
