lors	ADV	lors
de	PRP	de
la	DET:ART	le
dernière	ADJ	dernier
séance	NOM	séance
du	PRP:det	du
conseil	NOM	conseil
municipla	VER:simp	municipla
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
mise	VER:pper	mettre
en	PRP	en
place	NOM	place
la	DET:ART	le
nouvelle	ADJ	nouveau
équipe	NOM	équipe
municipale	ADJ	municipal
issue	ADJ	issu
de	PRP	de
l'	DET:ART	le
élection	NOM	élection
et	KON	et
constituée	VER:pper	constituer
de	PRP	de
nicole	NOM	nicole
corroyer	VER:infi	corroyer
,	PUN	,
denis	NOM	denis
clément	ADJ	clément
,	PUN	,
nicolas	VER:simp	nicolas
vuillemin	ADJ	vuillemin
et	KON	et
eric	ADJ	eric
heymann	NOM	heymann
.	SENT	.
la	DET:ART	le
représentation	NOM	représentation
aux	PRP:det	au
diverses	ADJ	divers
collectivités	NOM	collectivité
et	KON	et
la	DET:ART	le
participation	NOM	participation
aux	PRP:det	au
différentes	ADJ	différent
commissions	NOM	commission
ont	VER:pres	avoir
été	VER:pper	être
redistribuées	VER:pper	redistribuer
.	SENT	.
-	PUN	-
syndicat	NOM	syndicat
des	PRP:det	du
eaux	NOM	eau
:	PUN	:
titulaires	ADJ	titulaire
,	PUN	,
c.	ABR	c.
gresset	NOM	gresset
,	PUN	,
d.	ABR	d.
clément	ADJ	clément
;	PUN	;
suppléants	ADJ	suppléant
,	PUN	,
n.	ABR	n.
corroyer	VER:infi	corroyer
et	KON	et
p.	VER:subi	p.
baverel	NOM	baverel
.	SENT	.
-	PUN	-
regroupement	NOM	regroupement
pédagogique	ADJ	pédagogique
intercommunal	ADJ	intercommunal
boujailles-courvières	NOM	boujailles-courvières
:	PUN	:
titulaires	ADJ	titulaire
,	PUN	,
b.	ABR	b.
girard	NOM	girard
et	KON	et
a.	VER:simp	a.
geissbuhler	NOM	geissbuhler
;	PUN	;
suppléants	ADJ	suppléant
,	PUN	,
n.	ABR	n.
vuillemin	NOM	vuillemin
.	SENT	.
-	PUN	-
commission	NOM	commission
d'	PRP	de
appel	NOM	appel
d'	PRP	de
offres	NOM	offre
:	PUN	:
titulaires	ADJ	titulaire
,	PUN	,
c.	ABR	c.
kovacic	NOM	kovacic
,	PUN	,
b.	ABR	b.
girard	NOM	girard
,	PUN	,
p.	ABR	p.
jouffroy	NAM	jouffroy
,	PUN	,
e.	ABR	e.
heymann	NOM	heymann
;	PUN	;
suppléants	ADJ	suppléant
,	PUN	,
d.	ABR	d.
delacroix	NOM	delacroix
et	KON	et
c.	VER:simp	c.
gresset	NOM	gresset
.	SENT	.
-	PUN	-
forêt	NOM	forêt
:	PUN	:
c.	ABR	c.
kovacic	NOM	kovacic
,	PUN	,
c.	ABR	c.
gresset	NOM	gresset
,	PUN	,
n.	ABR	n.
vuillemin	NOM	vuillemin
et	KON	et
e.	NOM	e.
heymann	ADJ	heymann
.	SENT	.
-	PUN	-
assainissement	NOM	assainissement
