ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
la	DET:ART	le
mjc	NOM	mjc
organise	VER:pres	organiser
sa	DET:POS	son
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
à	PRP	à
bourguignon	ADJ	bourguignon
.	SENT	.
durée	NOM	durée
trois	NUM	trois
heures	NOM	heure
,	PUN	,
dénivelé	VER:pper	déniveler
de	PRP	de
233	NUM	@card@
mètres	NOM	mètre
.	SENT	.
animateur	ADJ	animateur
georges	NOM	georges
mougeot	ADJ	mougeot
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
96.96	NUM	@card@
.	SENT	.
63	NUM	@card@
départ	NOM	départ
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
de	PRP	de
la	DET:ART	le
place	NOM	place
de	PRP	de
la	DET:ART	le
république	NOM	république
à	PRP	à
valentigney	NOM	valentigney
.	SENT	.
