«	PUN:cit	«
etablir	VER:infi	etablir
des	PRP:det	du
liens	NOM	lien
fraternels	ADJ	fraternel
de	PRP	de
solidarité	NOM	solidarité
,	PUN	,
d'	PRP	de
entraide	NOM	entraide
et	KON	et
d'	PRP	de
amitié	NOM	amitié
entre	PRP	entre
les	DET:ART	le
décorés	VER:pper	décorer
du	PRP:det	du
travail	NOM	travail
,	PUN	,
qu'	PRO:REL	que
ils	PRO:PER	il
soient	VER:subp	être
actifs	ADJ	actif
ou	KON	ou
retraités	ADJ	retraité
,	PUN	,
et	KON	et
quel	PRO:REL	quel
que	KON	que
soit	KON	soit
l'	DET:ART	le
échelon	NOM	échelon
de	PRP	de
la	DET:ART	le
décoration	NOM	décoration
»,	ADJ	»,
tel	PRO:DEM	tel
est	VER:pres	être
l'	DET:ART	le
objet	NOM	objet
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
décorés	VER:pper	décorer
du	PRP:det	du
travail	NOM	travail
psa	VER:simp	psa
peugeot	NOM	peugeot
citroën	ADJ	citroën
,	PUN	,
site	NOM	site
de	PRP	de
vesoul	NOM	vesoul
dont	PRO:REL	dont
le	DET:ART	le
siège	NOM	siège
est	VER:pres	être
situé	VER:pper	situer
à	PRP	à
psa	VER:simp	psa
peugeot-citroën	NOM	peugeot-citroën
,	PUN	,
24	NUM	@card@
rue	NOM	rue
d'	PRP	de
echenoz	NOM	echenoz
à	PRP	à
vesoul	NOM	vesoul
.	SENT	.
avant	PRP	avant
la	DET:ART	le
création	NOM	création
de	PRP	de
cette	PRO:DEM	ce
association	NOM	association
le	DET:ART	le
5	NUM	@card@
octobre	NOM	octobre
2001	NUM	@card@
une	DET:ART	un
amicale	ADJ	amical
existait	VER:impf	exister
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
comité	NOM	comité
d'	PRP	de
établissement	NOM	établissement
de	PRP	de
l'	DET:ART	le
usine	NOM	usine
.	SENT	.
l'	DET:ART	le
association	NOM	association
comptait	VER:impf	compter
117	NUM	@card@
adhérents	NOM	adhérent
au	PRP:det	au
31	NUM	@card@
décembre	NOM	décembre
dernier	ADJ	dernier
,	PUN	,
(	PUN	(
cotisation	NOM	cotisation
de	PRP	de
10	NUM	@card@
	NOM	
par	PRP	par
an	NOM	an
).	VER:pper	).
pour	PRP	pour
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
dirigeante	ADJ	dirigeant
recherche	VER:pres	rechercher
de	PRP	de
nouveaux	ADJ	nouveau
adhérents	NOM	adhérent
(	PUN	(
surtout	ADV	surtout
parmi	PRP	parmi
les	DET:ART	le
médaillés	VER:pper	médailler
d'	PRP	de
argent	NOM	argent
et	KON	et
de	PRP	de
vermeil	NOM	vermeil
)	PUN	)
et	KON	et
va	VER:pres	aller
organiser	VER:infi	organiser
un	DET:ART	un
voyage	NOM	voyage
dans	PRP	dans
le	DET:ART	le
lyonnais	NOM	lyonnais
en	PRP	en
juin	NOM	juin
et	KON	et
visiter	VER:infi	visiter
le	DET:ART	le
parlement	NOM	parlement
européen	ADJ	européen
de	PRP	de
strasbourg	NOM	strasbourg
à	PRP	à
l'	DET:ART	le
automne	NOM	automne
.	SENT	.
elle	PRO:PER	elle
va	VER:pres	aller
renforcer	VER:infi	renforcer
les	DET:ART	le
liens	NOM	lien
avec	PRP	avec
les	DET:ART	le
autres	ADJ	autre
associations	NOM	association
psa	VER:simp	psa
peugeot-citroën	ADJ	peugeot-citroën
site	NOM	site
de	PRP	de
vesoul	NOM	vesoul
et	KON	et
avec	PRP	avec
les	DET:ART	le
autres	ADJ	autre
associations	NOM	association
de	PRP	de
décorés	VER:pper	décorer
du	PRP:det	du
travail	NOM	travail
de	PRP	de
la	DET:ART	le
région	NOM	région
.	SENT	.
des	PRP:det	du
actions	NOM	action
en	PRP	en
faveur	NOM	faveur
de	PRP	de
l'	DET:ART	le
apprentissage	NOM	apprentissage
et	KON	et
du	PRP:det	du
compagnonnage	NOM	compagnonnage
sont	VER:pres	être
également	ADV	également
prévues	VER:pper	prévoir
.	SENT	.
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
qui	PRO:REL	qui
vient	VER:pres	venir
de	PRP	de
se	PRO:PER	se
tenir	VER:infi	tenir
au	PRP:det	au
fjt	NOM	fjt
de	PRP	de
frotey	NOM	frotey
a	VER:pres	avoir
renouvelé	VER:pper	renouveler
sa	DET:POS	son
confiance	NOM	confiance
aux	PRP:det	au
quatre	NUM	quatre
membres	NOM	membre
du	PRP:det	du
bureau	NOM	bureau
du	PRP:det	du
tiers	NOM	tiers
sortant	VER:ppre	sortir
:	PUN	:
huguette	ADJ	huguette
