intéressant	VER:ppre	intéresser
de	PRP	de
faire	VER:infi	faire
le	DET:ART	le
point	NOM	point
pour	PRP	pour
ce	PRO:DEM	ce
démarrage	NOM	démarrage
des	PRP:det	du
phases	NOM	phase
automne	NOM	automne
du	PRP:det	du
championnat	NOM	championnat
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
positif	ADJ	positif
pour	PRP	pour
l'	DET:ART	le
al	ADJ	al
gray	NOM	gray
.	SENT	.
en	PRP	en
régionale	ADJ	régional
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
toujours	ADV	toujours
bon	ADJ	bon
de	PRP	de
démarrer	VER:infi	démarrer
un	DET:ART	un
championnat	NOM	championnat
par	PRP	par
des	PRP:det	du
victoires	NOM	victoire
.	SENT	.
ce	PRO:DEM	ce
fut	VER:simp	être
le	DET:ART	le
cas	NOM	cas
en	PRP	en
régionale	ADJ	régional
2	NUM	@card@
pour	PRP	pour
l'	DET:ART	le
équipe	NOM	équipe
fanion	NOM	fanion
face	NOM	face
à	PRP	à
lavernay	NOM	lavernay
,	PUN	,
un	DET:ART	un
adversaire	NOM	adversaire
pas	ADV	pas
facile	ADJ	facile
et	KON	et
le	DET:ART	le
11	NUM	@card@
-	PUN	-
9	NUM	@card@
obtenu	VER:pper	obtenir
sera	VER:futu	être
sans	PRP	sans
doute	NOM	doute
précieux	ADJ	précieux
pour	PRP	pour
l'	DET:ART	le
avenir	NOM	avenir
.	SENT	.
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
facile	ADJ	facile
(	PUN	(
12	NUM	@card@
-	PUN	-
8	NUM	@card@
),	NOM	),
celle	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
2	NUM	@card@
en	PRP	en
régionale	ADJ	régional
3	NUM	@card@
contre	PRP	contre
ecole	NOM	ecole
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
que	KON	que
le	DET:ART	le
but	NOM	but
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
est	VER:pres	être
le	DET:ART	le
maintien	NOM	maintien
.	SENT	.
en	PRP	en
départementale	ADJ	départemental
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
3	ABR	@card@
devra	VER:futu	devoir
batailler	VER:infi	batailler
ferme	ADV	ferme
pour	PRP	pour
se	PRO:PER	se
maintenir	VER:infi	maintenir
en	PRP	en
d	NOM	d
2.	PRO:REL	@ord@
elle	PRO:PER	elle
a	VER:pres	avoir
subi	VER:pper	subir
une	DET:ART	un
lourde	ADJ	lourd
défaite	NOM	défaite
(	PUN	(
3	NUM	@card@
-	PUN	-
15	NUM	@card@
)	PUN	)
à	PRP	à
saint-loup	NOM	saint-loup
.	SENT	.
par	PRP	par
contre	NOM	contre
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
4	NUM	@card@
a	VER:pres	avoir
été	VER:pper	être
très	ADV	très
dominatrice	ADJ	dominateur
devant	PRP	devant
noidans	NOM	noidans
qu'	PRO:REL	que
elle	PRO:PER	elle
a	VER:pres	avoir
battu	VER:pper	battre
13	NUM	@card@
-	PUN	-
5	NUM	@card@
en	PRP	en
jeunes	NOM	jeune
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
1	NUM	@card@
est	VER:pres	être
venue	VER:pper	venir
normalement	ADV	normalement
à	PRP	à
bout	NOM	bout
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
2	NUM	@card@
par	PRP	par
8	NUM	@card@
à	PRP	à
2	NUM	@card@
