metz	ABR	metz
.	SENT	.
_	NOM	_
le	DET:ART	le
laboratoire	NOM	laboratoire
central	ADJ	central
d'	PRP	de
analyses	NOM	analyse
de	PRP	de
moselle	ADJ	moselle
vient	VER:pres	venir
de	PRP	de
recevoir	VER:infi	recevoir
un	DET:ART	un
avis	NOM	avis
favorable	ADJ	favorable
de	PRP	de
la	DET:ART	le
commission	NOM	commission
du	PRP:det	du
comité	NOM	comité
français	ADJ	français
d'	PRP	de
accréditation	NOM	accréditation
(	PUN	(
cofrac	NOM	cofrac
)	PUN	)
pour	PRP	pour
effectuer	VER:infi	effectuer
les	DET:ART	le
dépistages	NOM	dépistage
de	PRP	de
l'	DET:ART	le
esb	NOM	esb
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
laboratoire	NOM	laboratoire
à	PRP	à
recevoir	VER:infi	recevoir
cette	PRO:DEM	ce
accréditation	NOM	accréditation
en	PRP	en
alsace-moselle	NOM	alsace-moselle
.	SENT	.
l'	DET:ART	le
autorisation	NOM	autorisation
concerne	VER:pres	concerner
des	PRP:det	du
analyses	NOM	analyse
par	PRP	par
des	PRP:det	du
tests	NOM	test
rapides	ADJ	rapide
transmissibles	ADJ	transmissible
.	SENT	.
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
bovins	NOM	bovin
de	PRP	de
plus	ADV	plus
de	PRP	de
30	NUM	@card@
mois	NOM	moi|mois
envoyés	VER:pper	envoyer
à	PRP	à
l'	DET:ART	le
abattoir	NOM	abattoir
en	PRP	en
moselle	ADJ	moselle
ont	VER:pres	avoir
été	VER:pper	être
dépistés	VER:pper	dépister
.	SENT	.
les	DET:ART	le
tests	NOM	test
ont	VER:pres	avoir
été	VER:pper	être
récemment	ADV	récemment
étendus	VER:pper	étendre
à	PRP	à
la	DET:ART	le
tremblante	NOM	tremblante
du	PRP:det	du
mouton	NOM	mouton
,	PUN	,
une	DET:ART	un
maladie	NOM	maladie
nerveuse	ADJ	nerveux
des	PRP:det	du
ovins	NOM	ovin
et	KON	et
des	PRP:det	du
caprins	ADJ	caprin
.	SENT	.
la	DET:ART	le
suspicion	NOM	suspicion
ne	ADV	ne
peut	VER:pres	pouvoir
être	VER:infi	être
confirmée	VER:pper	confirmer
qu'	KON	que
après	PRP	après
la	DET:ART	le
mort	NOM	mort
de	PRP	de
l'	DET:ART	le
animal	NOM	animal
.	SENT	.
les	DET:ART	le
kits	NOM	kit
d'	PRP	de
analyses	NOM	analyse
utilisés	VER:pper	utiliser
sont	VER:pres	être
les	DET:ART	le
mêmes	ADJ	même
que	KON	que
ceux	PRO:DEM	celui
employés	VER:pper	employer
pour	PRP	pour
le	DET:ART	le
dépistage	NOM	dépistage
de	PRP	de
l'	DET:ART	le
esb	NOM	esb
.	SENT	.
