comme	KON	comme
à	PRP	à
l'	DET:ART	le
habitude	NOM	habitude
,	PUN	,
la	DET:ART	le
traditionnelle	ADJ	traditionnel
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	NOM	
ux	ADJ	ux
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
en	PRP	en
mairie	NOM	mairie
en	PRP	en
présence	NOM	présence
de	PRP	de
mm	NOM	mm
.	SENT	.
jacquet	NOM	jacquet
,	PUN	,
maire	NOM	maire
,	PUN	,
courtaux	ADJ	courtaux
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
et	KON	et
président	NOM	président
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
du	PRP:det	du
val	NOM	val
dunois	NOM	dunois
,	PUN	,
paul	NOM	paul
,	PUN	,
maire	NOM	maire
honoraire	ADJ	honoraire
,	PUN	,
poinsot	NOM	poinsot
,	PUN	,
adjudant-chef	NOM	adjudant-chef
,	PUN	,
mais	KON	mais
aussi	ADV	aussi
des	PRP:det	du
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
présidents	NOM	président
d'	PRP	de
associations	NOM	association
,	PUN	,
commerçants	ADJ	commerçant
,	PUN	,
citoyens	NOM	citoyen
et	KON	et
amis	NOM	ami
.	SENT	.
m.	ABR	m.
jacquet	NOM	jacquet
,	PUN	,
maire	NOM	maire
de	PRP	de
la	DET:ART	le
commune	NOM	commune
,	PUN	,
a	VER:pres	avoir
manifesté	VER:pper	manifester
sa	DET:POS	son
reconnaissance	NOM	reconnaissance
et	KON	et
sa	DET:POS	son
gratitude	NOM	gratitude
à	PRP	à
l'	DET:ART	le
égard	NOM	égard
de	PRP	de
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
	NOM	
uvrent	ADJ	uvrent
au	PRP:det	au
service	NOM	service
de	PRP	de
la	DET:ART	le
commune	NOM	commune
et	KON	et
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
du	PRP:det	du
val	NOM	val
dunois	NOM	dunois
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
ensuite	ADV	ensuite
cité	VER:pper	citer
différents	ADJ	différent
travaux	NOM	travail
effectués	VER:pper	effectuer
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
:	PUN	:
la	DET:ART	le
fin	NOM	fin
des	PRP:det	du
travaux	NOM	travail
du	PRP:det	du
parking	NOM	parking
,	PUN	,
les	DET:ART	le
travaux	NOM	travail
de	PRP	de
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
toiture	NOM	toiture
,	PUN	,
aménagement	NOM	aménagement
des	PRP:det	du
cuisines	NOM	cuisine
,	PUN	,
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
le	DET:ART	le
columbarium	NOM	columbarium
.	SENT	.
mais	KON	mais
il	PRO:PER	il
a	VER:pres	avoir
aussi	ADV	aussi
évoqué	VER:pper	évoquer
les	DET:ART	le
travaux	NOM	travail
à	PRP	à
venir	VER:infi	venir
:	PUN	:
aménagement	NOM	aménagement
du	PRP:det	du
monument	NOM	monument
,	PUN	,
construction	NOM	construction
du	PRP:det	du
château	NOM	château
d'	PRP	de
eau	NOM	eau
,	PUN	,
préparation	NOM	préparation
et	KON	et
aménagement	NOM	aménagement
du	PRP:det	du
site	NOM	site
de	PRP	de
dun-haut	NOM	dun-haut
.	SENT	.
après	KON	après
quoi	PRO:REL	quoi
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
souhaité	VER:pper	souhaiter
ses	DET:POS	son
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
à	PRP	à
tous	PRO:IND	tout
et	KON	et
toutes	PRO:IND	tout
sans	PRP	sans
oublier	VER:infi	oublier
la	DET:ART	le
codecom	NOM	codecom
du	PRP:det	du
val	NOM	val
dunois	NOM	dunois
,	PUN	,
outil	NOM	outil
indispensable	ADJ	indispensable
et	KON	et
incontournable	ADJ	incontournable
du	PRP:det	du
développement	NOM	développement
du	PRP:det	du
secteur	NOM	secteur
.	SENT	.
suite	NOM	suite
à	PRP	à
cela	PRO:DEM	cela
,	PUN	,
m.	ABR	m.
courtaux	NOM	courtaux
a	VER:pres	avoir
présenté	VER:pper	présenter
les	DET:ART	le
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
la	DET:ART	le
codecom	NOM	codecom
mêlant	VER:ppre	mêler
projets	NOM	projet
réalisés	VER:pper	réaliser
,	PUN	,
en	PRP	en
cours	NOM	cour|cours
et	KON	et
à	PRP	à
venir	VER:infi	venir
,	PUN	,
développement	NOM	développement
touristique	ADJ	touristique
,	PUN	,
signalétique	ADJ	signalétique
,	PUN	,
opah	NOM	opah
,	PUN	,
lac	NOM	lac
vert	ADJ	vert
,	PUN	,
camping	NOM	camping
de	PRP	de
brieulles	NOM	brieulles
,	PUN	,
mais	KON	mais
aussi	ADV	aussi
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
d'	PRP	de
un	DET:ART	un
habitant	NOM	habitant
renommé	VER:pper	renommer
dans	PRP	dans
le	DET:ART	le
val	NOM	val
dunois	NOM	dunois
,	PUN	,
ipoustéguy	NOM	ipoustéguy
.	SENT	.
