c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
tristesse	NOM	tristesse
que	PRO:REL	que
nous	PRO:PER	nous
venons	VER:pres	venir
d'	PRP	de
apprendre	VER:infi	apprendre
le	DET:ART	le
décès	NOM	décès
d'	PRP	de
etienne	NOM	etienne
d'	PRP	de
hondt	NOM	hondt
,	PUN	,
survenu	VER:pper	survenir
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
de	PRP	de
gondrecourt	NOM	gondrecourt
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
68	NUM	@card@
ans	NOM	an
.	SENT	.
etienne	NOM	etienne
d'	PRP	de
hondt	NOM	hondt
est	VER:pres	être
né	VER:pper	naître
le	DET:ART	le
27	NUM	@card@
novembre	NOM	novembre
1934	NUM	@card@
à	PRP	à
guibermesnil	NOM	guibermesnil
(	PUN	(
somme	NOM	somme
).	VER:pper	).
en	PRP	en
rentrant	VER:ppre	rentrer
d'	PRP	de
algérie	NOM	algérie
où	PRO:REL	où
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
mobilisé	VER:pper	mobiliser
pendant	PRP	pendant
30	NUM	@card@
mois	NOM	moi|mois
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
marie	VER:pres	marier
avec	PRP	avec
mathilde	NOM	mathilde
morel	ADJ	morel
.	SENT	.
deux	NUM	deux
enfants	NOM	enfant
naîtront	VER:futu	naître
de	PRP	de
leur	DET:POS	leur
union	NOM	union
:	PUN	:
sylvie	NOM	sylvie
et	KON	et
christophe	NOM	christophe
.	SENT	.
il	PRO:PER	il
aura	VER:futu	avoir
l'	DET:ART	le
immense	ADJ	immense
douleur	NOM	douleur
de	PRP	de
perdre	VER:infi	perdre
sa	DET:POS	son
femme	NOM	femme
alors	ADV	alors
qu'	KON	que
elle	PRO:PER	elle
avait	VER:impf	avoir
tout	PRO:IND	tout
juste	NOM	juste
40	NUM	@card@
ans	NOM	an
.	SENT	.
il	PRO:PER	il
en	PRO:PER	en
sera	VER:futu	être
affecté	VER:pper	affecter
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
sa	DET:POS	son
vie	NOM	vie
.	SENT	.
sa	DET:POS	son
fille	NOM	fille
sylvie	NOM	sylvie
lui	PRO:PER	lui
redonne	VER:pres	redonner
de	PRP	de
la	DET:ART	le
joie	NOM	joie
de	PRP	de
vivre	VER:infi	vivre
avec	PRP	avec
la	DET:ART	le
naissance	NOM	naissance
de	PRP	de
deux	NUM	deux
petites-filles	NOM	petite-fille
qu'	PRO:REL	que
il	PRO:PER	il
adorait	VER:impf	adorer
par-dessus	ADV	par-dessus
tout	ADV	tout
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
été	VER:pper	être
agriculteur	NOM	agriculteur
à	PRP	à
levoncourt	NOM	levoncourt
,	PUN	,
puis	ADV	puis
fromager	ADJ	fromager
à	PRP	à
loisey	NOM	loisey
,	PUN	,
il	PRO:PER	il
travaille	VER:pres	travailler
ensuite	ADV	ensuite
à	PRP	à
la	DET:ART	le
dde	NOM	dde
de	PRP	de
ligny-en-barrois	NOM	ligny-en-barrois
d'	PRP	de
où	PRO:REL	où
il	PRO:PER	il
prend	VER:pres	prendre
sa	DET:POS	son
retraite	NOM	retraite
.	SENT	.
dans	PRP	dans
les	DET:ART	le
différents	ADJ	différent
emplois	NOM	emploi
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
occupés	VER:pper	occuper
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
toujours	ADV	toujours
été	VER:pper	être
très	ADV	très
estimé	VER:pper	estimer
de	PRP	de
ses	DET:POS	son
collègues	NOM	collègue
.	SENT	.
féru	ADJ	féru
de	PRP	de
chasse	NOM	chasse
et	KON	et
de	PRP	de
pêche	NOM	pêche
,	PUN	,
il	PRO:PER	il
aimait	VER:impf	aimer
aussi	ADV	aussi
beaucoup	ADV	beaucoup
le	DET:ART	le
jardinage	NOM	jardinage
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
cinq	NUM	cinq
ans	NOM	an
,	PUN	,
il	PRO:PER	il
entrait	VER:impf	entrer
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
,	PUN	,
atteint	VER:pper	atteindre
de	PRP	de
la	DET:ART	le
maladie	NOM	maladie
d'	PRP	de
alzheimer	VER:infi	alzheimer
.	SENT	.
les	DET:ART	le
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
à	PRP	à
levoncourt	NOM	levoncourt
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
