mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
l'	DET:ART	le
ecole	NOM	ecole
nationale	ADJ	national
de	PRP	de
musique	NOM	musique
d'	PRP	de
epinal	NOM	epinal
ouvre	VER:pres	ouvrer|ouvrir
ses	DET:POS	son
portes	NOM	porte
,	PUN	,
afin	KON	afin
de	PRP	de
montrer	VER:infi	montrer
à	PRP	à
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
le	PRO:PER	le
souhaitent	VER:pres	souhaiter
,	PUN	,
tout	PRO:IND	tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
elle	PRO:PER	elle
propose	VER:pres	proposer
,	PUN	,
depuis	PRP	depuis
l'	DET:ART	le
éveil	NOM	éveil
musical	ADJ	musical
pour	PRP	pour
les	DET:ART	le
élèves	NOM	élève
en	PRP	en
grande	ADJ	grand
section	NOM	section
de	PRP	de
maternelle	ADJ	maternel
ou	KON	ou
cp	NOM	cp
,	PUN	,
jusqu'au	NOM	jusqu'au
certificat	NOM	certificat
de	PRP	de
formation	NOM	formation
musicale	ADJ	musical
.	SENT	.
intéressant	VER:ppre	intéresser
également	ADV	également
,	PUN	,
le	DET:ART	le
3	NUM	@card@
e	ADJ	e
cycle	NOM	cycle
non	ADV	non
diplômant	VER:ppre	diplômer
,	PUN	,
permettant	VER:ppre	permettre
aux	PRP:det	au
élèves	NOM	élève
ayant	VER:ppre	avoir
terminé	VER:pper	terminer
le	DET:ART	le
second	NOM	second
cycle	VER:pres	cycler
de	PRP	de
poursuivre	VER:infi	poursuivre
leurs	DET:POS	leur
études	NOM	étude
instrumentales	ADJ	instrumental
,	PUN	,
tout	ADV	tout
en	PRO:PER	en
étant	VER:ppre	être
dispensés	VER:pper	dispenser
des	PRP:det	du
cours	NOM	cour|cours
de	PRP	de
formation	NOM	formation
musicale	ADJ	musical
.	SENT	.
a	VER:pres	avoir
signaler	VER:infi	signaler
également	ADV	également
,	PUN	,
depuis	PRP	depuis
la	DET:ART	le
rentrée	NOM	rentrée
2002	NUM	@card@
le	DET:ART	le
cursus	NOM	cursus
adulte	ADJ	adulte
avec	PRP	avec
un	DET:ART	un
parcours	NOM	parcours
de	PRP	de
formation	NOM	formation
spécifique	ADJ	spécifique
.	SENT	.
pour	PRP	pour
information	NOM	information
,	PUN	,
voici	ADV	voici
les	DET:ART	le
horaires	NOM	horaire
des	PRP:det	du
différentes	ADJ	différent
auditions	NOM	audition
prévues	VER:pper	prévoir
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
après-midi	NOM	après-midi
:	PUN	:
les	DET:ART	le
vents	NOM	vent
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
le	DET:ART	le
piano	NOM	piano
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
le	DET:ART	le
chant	NOM	chant
choral	ADJ	choral
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
les	DET:ART	le
cordes	NOM	corde
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
la	DET:ART	le
musique	NOM	musique
d'	PRP	de
ensemble	NOM	ensemble
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
accordéon	NOM	accordéon
et	KON	et
harpe	NOM	harpe
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
ainsi	KON	ainsi
que	KON	que
musique	NOM	musique
ancienne	ADJ	ancien
et	KON	et
orchestre	NOM	orchestre
;	PUN	;
l'	DET:ART	le
orchestre	NOM	orchestre
de	PRP	de
flûte	NOM	flûte
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
jazz	NOM	jazz
et	KON	et
big	NOM	big
bang	NOM	bang
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
la	DET:ART	le
musique	NOM	musique
de	PRP	de
chambre	NOM	chambre
de	PRP	de
19	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h.	ABR	h.
