l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
comité	NOM	comité
d'	PRP	de
animation	NOM	animation
aura	VER:futu	avoir
lieu	NOM	lieu
en	PRP	en
salle	NOM	salle
de	PRP	de
mairie	NOM	mairie
(	PUN	(
salle	NOM	salle
du	PRP:det	du
sous-sol	NOM	sous-sol
),	ADJ	),
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
20	NUM	@card@
h.	ABR	h.
habitants	NOM	habitant
de	PRP	de
bonnétage	NOM	bonnétage
et	KON	et
de	PRP	de
saint-julien-les-russey	NOM	saint-julien-les-russey
,	PUN	,
vous	PRO:PER	vous
êtes	VER:pres	être
tous	PRO:IND	tout
invités	NOM	invité
à	PRP	à
y	PRO:PER	y
participer	VER:infi	participer
.	SENT	.
