les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
mercredi	NOM	mercredi
à	PRP	à
deux	NUM	deux
reprises	NOM	reprise
pour	KON	pour
des	PRP:det	du
malaises	NOM	malais|malaise
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
55	NUM	@card@
et	KON	et
à	PRP	à
20	NUM	@card@
h	ABR	heure
50	NUM	@card@
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
hier	ADV	hier
,	PUN	,
à	PRP	à
8	NUM	@card@
h	ABR	heure
25	NUM	@card@
malaise	NOM	malais|malaise
à	PRP	à
saint-nicolas	NOM	saint-nicolas
.	SENT	.
