l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
à	PRP	à
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
jusqu'au	NOM	jusqu'au
lundi	NOM	lundi
8	NUM	@card@
h	ABR	heure
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
docteur	NOM	docteur
lunardi	ADJ	lunardi
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.92	NUM	@card@
.	SENT	.
89	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
auxiliaire	NOM	auxiliaire
médicale	ADJ	médical
:	PUN	:
mme	VER:simp	mme
andré	ADJ	andré
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.77	NUM	@card@
.	SENT	.
08	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
jusqu'au	NOM	jusqu'au
lundi	NOM	lundi
14	NUM	@card@
h	ABR	heure
:	PUN	:
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
messe	NOM	messe
pour	PRP	pour
tout	PRO:IND	tout
le	DET:ART	le
secteur	NOM	secteur
pastoral	ADJ	pastoral
:	PUN	:
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
dommary-baroncourt	NOM	dommary-baroncourt
.	SENT	.
harmonie	NOM	harmonie
municipale	ADJ	municipal
:	PUN	:
à	PRP	à
partir	VER:infi	partir
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
répétition	NOM	répétition
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
musique	NOM	musique
.	SENT	.
piscine	NOM	piscine
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
le	DET:ART	le
public	NOM	public
.	SENT	.
concert	NOM	concert
des	PRP:det	du
élèves	NOM	élève
de	PRP	de
l'	DET:ART	le
emi	NOM	emi
:	PUN	:
à	PRP	à
15	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
,	PUN	,
audition	NOM	audition
des	PRP:det	du
jeunes	ADJ	jeune
élèves	NOM	élève
de	PRP	de
l'	DET:ART	le
espace	NOM	espace
musical	ADJ	musical
intercommunal	ADJ	intercommunal
;	PUN	;
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
asbb	NOM	asbb
football	NOM	football
:	PUN	:
de	PRP	de
10	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
finale	NOM	finale
départementale	ADJ	départemental
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
meuse	ADJ	meuse
en	PRP	en
salle	NOM	salle
pour	PRP	pour
les	DET:ART	le
13	NUM	@card@
ans	NOM	an
;	PUN	;
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
brabois	NOM	brabois
,	PUN	,
équipe	NOM	équipe
seniors	NOM	senior
b	ADJ	b
-	PUN	-
seuil-d'argonne	ADJ	seuil-d'argonne
a	VER:pres	avoir
;	PUN	;
seniors	NOM	senior
a	VER:pres	avoir
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
florange	NOM	florange
b.	VER:subi	b.
asjpb	NOM	asjpb
basket	NOM	basket
:	PUN	:
à	PRP	à
10	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
joudreville	NOM	joudreville
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
cadets	ADJ	cadet
reçoit	VER:pres	recevoir
uckange	NOM	uckange
.	SENT	.
