c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
figure	NOM	figure
du	PRP:det	du
cyclisme	NOM	cyclisme
pontissalien	ADJ	pontissalien
et	KON	et
franc-comtois	ADJ	franc-comtois
qui	PRO:REL	qui
disparaît	VER:pres	disparaître
avec	PRP	avec
le	DET:ART	le
décès	NOM	décès
de	PRP	de
paul	NOM	paul
rossier	ADJ	rossier
survenu	VER:pper	survenir
dans	PRP	dans
sa	DET:POS	son
89	NUM	@card@
e	NOM	e
année	NOM	année
.	SENT	.
parisien	NOM	parisien
d'	PRP	de
origine	NOM	origine
,	PUN	,
né	VER:pper	naître
le	DET:ART	le
27	NUM	@card@
mars	NOM	mars
1914	NUM	@card@
dans	PRP	dans
la	DET:ART	le
capitale	NOM	capitale
,	PUN	,
mais	KON	mais
pontissalien	ADJ	pontissalien
pour	PRP	pour
y	PRO:PER	y
avoir	VER:infi	avoir
exercé	VER:pper	exercer
son	DET:POS	son
activité	NOM	activité
professionnelle	ADJ	professionnel
comme	KON	comme
employé	VER:pper	employer
à	PRP	à
la	DET:ART	le
ville	NOM	ville
,	PUN	,
paul	NOM	paul
rossier	ADJ	rossier
était	VER:impf	être
surtout	ADV	surtout
connu	VER:pper	connaître
dans	PRP	dans
le	DET:ART	le
milieu	NOM	milieu
sportif	ADJ	sportif
et	KON	et
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
du	PRP:det	du
vélo	NOM	vélo
.	SENT	.
cycliste	ADJ	cycliste
de	PRP	de
bon	ADJ	bon
niveau	NOM	niveau
,	PUN	,
il	PRO:PER	il
fut	VER:simp	être
professionnel	ADJ	professionnel
durant	PRP	durant
une	DET:ART	un
dizaine	NOM	dizaine
d'	PRP	de
années	NOM	année
,	PUN	,
entre	PRP	entre
1938	NUM	@card@
et	KON	et
1949	NUM	@card@
s'	PRO:PER	se
illustrant	VER:ppre	illustrer
notamment	ADV	notamment
dans	PRP	dans
les	DET:ART	le
épreuves	NOM	épreuve
françaises	ADJ	français
:	PUN	:
en	PRP	en
1938	NUM	@card@
il	PRO:PER	il
remporta	VER:simp	remporter
le	DET:ART	le
tour	NOM	tour
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
,	PUN	,
le	DET:ART	le
tour	NOM	tour
de	PRP	de
l'	DET:ART	le
est	NOM	est
central	ADJ	central
,	PUN	,
paris-loches	NOM	paris-loches
,	PUN	,
fut	VER:simp	être
second	NOM	second
du	PRP:det	du
tour	NOM	tour
du	PRP:det	du
doubs	NOM	doubs
,	PUN	,
3	NUM	@card@
e	NOM	e
de	PRP	de
la	DET:ART	le
polymultipliée	ADJ	polymultiplié
,	PUN	,
une	DET:ART	un
épreuve	NOM	épreuve
où	PRO:REL	où
il	PRO:PER	il
obtint	VER:simp	obtenir
par	PRP	par
la	DET:ART	le
suite	NOM	suite
de	PRP	de
bons	ADJ	bon
résultats	NOM	résultat
,	PUN	,
prouvant	VER:ppre	prouver
ses	DET:POS	son
qualités	NOM	qualité
de	PRP	de
grimpeur	NOM	grimpeur
.	SENT	.
les	DET:ART	le
années	NOM	année
suivantes	ADJ	suivant
,	PUN	,
paul	NOM	paul
rossier	ADJ	rossier
fut	VER:simp	être
aux	PRP:det	au
places	NOM	place
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
nombreux	ADJ	nombreux
épreuves	NOM	épreuve
avec	ADV	avec
,	PUN	,
par	PRP	par
exemple	NOM	exemple
,	PUN	,
une	DET:ART	un
9	NUM	@card@
e	ADJ	e
place	NOM	place
au	PRP:det	au
critérium	NOM	critérium
national	ADJ	national
en	PRP	en
1942	NUM	@card@
après	PRP	après
avoir	VER:infi	avoir
raccroché	VER:pper	raccrocher
le	DET:ART	le
vélo	NOM	vélo
de	PRP	de
compétition	NOM	compétition
,	PUN	,
paul	ADJ	paul
rossier	NOM	rossier
ne	ADV	ne
quitta	VER:simp	quitter
pas	ADV	pas
les	DET:ART	le
pelotons	NOM	peloton
.	SENT	.
dirigeant	VER:ppre	diriger
au	PRP:det	au
vc	NOM	vc
pontarlier	NOM	pontarlier
,	PUN	,
il	PRO:PER	il
en	PRO:PER	en
fut	VER:simp	être
le	DET:ART	le
président	NOM	président
dans	PRP	dans
les	DET:ART	le
années	NOM	année
70	NUM	@card@
commissaire	NOM	commissaire
de	PRP	de
course	NOM	course
,	PUN	,
il	PRO:PER	il
officia	VER:simp	officier
sur	PRP	sur
le	DET:ART	le
tour	NOM	tour
de	PRP	de
france	NOM	france
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
famille	NOM	famille
de	PRP	de
paul	NOM	paul
rossier	ADJ	rossier
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
obsèques	NOM	obsèques
ont	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
hier	ADV	hier
,	PUN	,
au	PRP:det	au
cimetière	NOM	cimetière
saint-roch	ADJ	saint-roch
,	PUN	,
«	PUN:cit	«
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
»	PUN:cit	»
présente	VER:pres	présenter
ses	DET:POS	son
vives	ADJ	vif
condoléances	NOM	condoléance
.	SENT	.
