afin	KON	afin
de	PRP	de
permettre	VER:infi	permettre
aux	PRP:det	au
agents	NOM	agent
des	PRP:det	du
guichets	NOM	guichet
de	PRP	de
répondre	VER:infi	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
du	PRP:det	du
préfet	NOM	préfet
pour	PRP	pour
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
les	DET:ART	le
services	NOM	service
de	PRP	de
la	DET:ART	le
préfecture	NOM	préfecture
ouverts	VER:pper	ouvrir
au	PRP:det	au
public	NOM	public
seront	VER:futu	être
fermés	VER:pper	fermer
le	DET:ART	le
vendredi	NOM	vendredi
17	NUM	@card@
janvier	NOM	janvier
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
