les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
mardi	NOM	mardi
soir	NOM	soir
pour	PRP	pour
deux	NUM	deux
malaises	NOM	malais|malaise
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
saint-nicolas	NOM	saint-nicolas
puis	ADV	puis
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
rosières	NOM	rosière
.	SENT	.
hier	ADV	hier
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
